"trial_id","task","distance_px","condition","repeat","start_variant","priority","evidence_level","status"
"V2-P20-intact-01","push","20","intact","1","standard","core","quantitative_closed_loop","GO"
"V2-P20-intact-02","push","20","intact","2","standard","core","quantitative_closed_loop","GO"
"V2-P20-intact-03","push","20","intact","3","standard","core","quantitative_closed_loop","GO"
"V2-P20-D1-01-unlimited-01","push","20","D1","1","standard","core","quantitative_closed_loop","GO"
"V2-P20-D1-02","push","20","D1","2","standard","core","quantitative_closed_loop","GO"
"V2-P20-D1-03","push","20","D1","3","standard","core","quantitative_closed_loop","GO"
"V2-P20-D2-floor05-01","push","20","D2","1","standard","core","quantitative_closed_loop","GO"
"V2-P20-D2-02","push","20","D2","2","standard","core","quantitative_closed_loop","GO"
"V2-P20-D2-03","push","20","D2","3","standard","core","quantitative_closed_loop","GO"
"V2-P20-D3-medium-01","push","20","D3","1","standard","core","quantitative_closed_loop","GO"
"V2-P20-D3-02","push","20","D3","2","standard","core","quantitative_closed_loop","GO"
"V2-P20-D3-03","push","20","D3","3","standard","core","quantitative_closed_loop","GO"
"V2-P20-D4-medium-01","push","20","D4","1","standard","core","quantitative_closed_loop","GO"
"V2-P20-D4-02","push","20","D4","2","standard","core","quantitative_closed_loop","GO"
"V2-P20-D4-03","push","20","D4","3","standard","core","quantitative_closed_loop","GO"
"V2-P20-D5-medium-01","push","20","D5","1","standard","core","quantitative_closed_loop","GO"
"V2-P20-D5-02","push","20","D5","2","standard","core","quantitative_closed_loop","GO"
"V2-P20-D5-03","push","20","D5","3","standard","core","quantitative_closed_loop","GO"
"V2-P15-J1J2-01","push","15","J1+J2","1","standard","double_fault","quantitative_closed_loop","GO"
"V2-P15-J2J3-01","push","15","J2+J3","1","standard","double_fault","quantitative_closed_loop","GO"
"V2-P15-J3J4-03","push","15","J3+J4","1","standard","double_fault","quantitative_closed_loop","NO_GO"
"V2-P15-J3J4-04","push","15","J3+J4","2","standard","double_fault","quantitative_closed_loop","NO_GO"
"V2-P15-J3J4-05","push","15","J3+J4","3","standard","double_fault","quantitative_closed_loop","GO"
