camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
directshow_index_1,0,183674562000000,183674828000000,183674695000000,2026-09-05T07:55:13.562722+00:00,,,640,480
directshow_index_1,1,183674843000000,183674859000000,183674851000000,2026-09-05T07:55:13.582315+00:00,,,640,480
directshow_index_1,2,183674937000000,183674937000000,183674937000000,2026-09-05T07:55:13.659407+00:00,,,640,480
directshow_index_1,3,183675031000000,183675031000000,183675031000000,2026-09-05T07:55:13.755732+00:00,,,640,480
directshow_index_1,4,183675125000000,183675125000000,183675125000000,2026-09-05T07:55:13.847678+00:00,,,640,480
directshow_index_1,5,183675218000000,183675218000000,183675218000000,2026-09-05T07:55:13.945503+00:00,,,640,480
directshow_index_1,6,183675312000000,183675312000000,183675312000000,2026-09-05T07:55:14.037766+00:00,,,640,480
directshow_index_1,7,183675406000000,183675406000000,183675406000000,2026-09-05T07:55:14.126871+00:00,,,640,480
directshow_index_1,8,183675500000000,183675500000000,183675500000000,2026-09-05T07:55:14.222752+00:00,,,640,480
directshow_index_1,9,183675593000000,183675593000000,183675593000000,2026-09-05T07:55:14.313374+00:00,,,640,480
directshow_index_1,10,183675687000000,183675687000000,183675687000000,2026-09-05T07:55:14.411687+00:00,,,640,480
directshow_index_1,11,183675781000000,183675781000000,183675781000000,2026-09-05T07:55:14.503795+00:00,,,640,480
directshow_index_1,12,183675875000000,183675875000000,183675875000000,2026-09-05T07:55:14.593801+00:00,,,640,480
directshow_index_1,13,183675968000000,183675968000000,183675968000000,2026-09-05T07:55:14.692015+00:00,,,640,480
daheng_sn_FDE23080341,0,183675937000000,183675953000000,183675945000000,2026-09-05T07:55:14.703021+00:00,0,18024437309025,1920,1200
daheng_sn_FDE23080341,1,183676031000000,183676031000000,183676031000000,2026-09-05T07:55:14.773145+00:00,1,18024444993825,1920,1200
directshow_index_1,14,183676062000000,183676062000000,183676062000000,2026-09-05T07:55:14.783293+00:00,,,640,480
daheng_sn_FDE23080341,2,183676125000000,183676125000000,183676125000000,2026-09-05T07:55:14.878150+00:00,2,18024452678625,1920,1200
directshow_index_1,15,183676156000000,183676156000000,183676156000000,2026-09-05T07:55:14.881153+00:00,,,640,480
daheng_sn_FDE23080341,3,183676218000000,183676218000000,183676218000000,2026-09-05T07:55:14.960536+00:00,3,18024460363425,1920,1200
directshow_index_1,16,183676250000000,183676250000000,183676250000000,2026-09-05T07:55:14.970637+00:00,,,640,480
daheng_sn_FDE23080341,4,183676312000000,183676312000000,183676312000000,2026-09-05T07:55:15.061080+00:00,4,18024468048225,1920,1200
directshow_index_1,17,183676343000000,183676343000000,183676343000000,2026-09-05T07:55:15.065246+00:00,,,640,480
daheng_sn_FDE23080341,5,183676406000000,183676406000000,183676406000000,2026-09-05T07:55:15.144392+00:00,5,18024475733025,1920,1200
directshow_index_1,18,183676437000000,183676437000000,183676437000000,2026-09-05T07:55:15.157321+00:00,,,640,480
daheng_sn_FDE23080341,6,183676500000000,183676500000000,183676500000000,2026-09-05T07:55:15.241685+00:00,6,18024483417825,1920,1200
directshow_index_1,19,183676531000000,183676531000000,183676531000000,2026-09-05T07:55:15.254323+00:00,,,640,480
daheng_sn_FDE23080341,7,183676593000000,183676593000000,183676593000000,2026-09-05T07:55:15.344735+00:00,7,18024491102625,1920,1200
directshow_index_1,20,183676625000000,183676625000000,183676625000000,2026-09-05T07:55:15.345735+00:00,,,640,480
daheng_sn_FDE23080341,8,183676687000000,183676687000000,183676687000000,2026-09-05T07:55:15.431562+00:00,8,18024498787425,1920,1200
directshow_index_1,21,183676718000000,183676718000000,183676718000000,2026-09-05T07:55:15.443169+00:00,,,640,480
daheng_sn_FDE23080341,9,183676781000000,183676781000000,183676781000000,2026-09-05T07:55:15.524009+00:00,9,18024506472225,1920,1200
directshow_index_1,22,183676812000000,183676812000000,183676812000000,2026-09-05T07:55:15.534002+00:00,,,640,480
daheng_sn_FDE23080341,10,183676875000000,183676875000000,183676875000000,2026-09-05T07:55:15.619511+00:00,10,18024514157025,1920,1200
directshow_index_1,23,183676906000000,183676906000000,183676906000000,2026-09-05T07:55:15.629646+00:00,,,640,480
daheng_sn_FDE23080341,11,183676968000000,183676968000000,183676968000000,2026-09-05T07:55:15.707044+00:00,11,18024521841825,1920,1200
directshow_index_1,24,183677000000000,183677000000000,183677000000000,2026-09-05T07:55:15.720688+00:00,,,640,480
daheng_sn_FDE23080341,12,183677062000000,183677062000000,183677062000000,2026-09-05T07:55:15.807643+00:00,12,18024529526625,1920,1200
directshow_index_1,25,183677093000000,183677093000000,183677093000000,2026-09-05T07:55:15.819685+00:00,,,640,480
daheng_sn_FDE23080341,13,183677156000000,183677156000000,183677156000000,2026-09-05T07:55:15.901069+00:00,24,18024621744225,1920,1200
directshow_index_1,26,183677187000000,183677187000000,183677187000000,2026-09-05T07:55:15.915246+00:00,,,640,480
daheng_sn_FDE23080341,14,183677250000000,183677250000000,183677250000000,2026-09-05T07:55:15.990222+00:00,36,18024713961825,1920,1200
