sample_index,host_utc,read_start_monotonic_ns,read_end_monotonic_ns,elapsed_s,phase,segment_index,read_retry_count,j1_position_raw,j1_target_raw,j1_position_rad,j1_target_rad,j1_voltage_raw,j1_voltage_v,j1_temperature_c,j1_current_raw,j2_position_raw,j2_target_raw,j2_position_rad,j2_target_rad,j2_voltage_raw,j2_voltage_v,j2_temperature_c,j2_current_raw,j3_position_raw,j3_target_raw,j3_position_rad,j3_target_rad,j3_voltage_raw,j3_voltage_v,j3_temperature_c,j3_current_raw,j4_position_raw,j4_target_raw,j4_position_rad,j4_target_rad,j4_voltage_raw,j4_voltage_v,j4_temperature_c,j4_current_raw,j5_position_raw,j5_target_raw,j5_position_rad,j5_target_rad,j5_voltage_raw,j5_voltage_v,j5_temperature_c,j5_current_raw
0,2026-09-05T08:30:52.167539+00:00,185813406000000,185813437000000,0.031000000,start_alignment,-1,0,2090,2090,0.102776712788,0.102776712788,76,7.6,27,1,2638,2638,0.877437010671,0.877437010671,75,7.5,25,0,2608,2608,0.843689433337,0.843689433337,76,7.6,26,0,2724,2724,0.994019550550,0.994019550550,75,7.5,27,1,2077,2077,0.016873788667,0.016873788667,75,7.5,26,0
1,2026-09-05T08:30:52.226572+00:00,185813468000000,185813500000000,0.094000000,start_alignment,-1,0,2090,2090,0.102776712788,0.102776712788,76,7.6,27,1,2638,2639,0.877437010671,0.878970991458,75,7.5,25,0,2608,2608,0.843689433337,0.843689433337,76,7.6,26,0,2724,2724,0.994019550550,0.994019550550,75,7.5,27,1,2077,2076,0.016873788667,0.015339807879,76,7.6,26,0
2,2026-09-05T08:30:52.262931+00:00,185813515000000,185813531000000,0.125000000,start_alignment,-1,0,2090,2089,0.102776712788,0.101242732000,76,7.6,27,1,2638,2640,0.877437010671,0.880504972246,75,7.5,25,0,2608,2607,0.843689433337,0.842155452549,76,7.6,26,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2075,0.016873788667,0.013805827091,75,7.5,26,0
3,2026-09-05T08:30:52.456701+00:00,185813687000000,185813734000000,0.328000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,1,2638,2641,0.877437010671,0.882038953034,75,7.5,25,1,2608,2607,0.843689433337,0.842155452549,76,7.6,26,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,76,7.6,26,0
4,2026-09-05T08:30:52.517484+00:00,185813750000000,185813796000000,0.390000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,1,2638,2641,0.877437010671,0.882038953034,75,7.5,25,1,2608,2607,0.843689433337,0.842155452549,76,7.6,26,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,76,7.6,26,1
5,2026-09-05T08:30:52.581202+00:00,185813812000000,185813859000000,0.453000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,1,2638,2641,0.877437010671,0.882038953034,75,7.5,25,1,2608,2607,0.843689433337,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,76,7.6,26,1
6,2026-09-05T08:30:52.638956+00:00,185813875000000,185813906000000,0.500000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,1,2638,2641,0.877437010671,0.882038953034,75,7.5,25,1,2608,2607,0.843689433337,0.842155452549,76,7.6,26,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,75,7.5,26,0
7,2026-09-05T08:30:52.684974+00:00,185813921000000,185813953000000,0.547000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,1,2638,2641,0.877437010671,0.882038953034,75,7.5,25,0,2608,2607,0.843689433337,0.842155452549,76,7.6,26,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,76,7.6,26,0
8,2026-09-05T08:30:52.724161+00:00,185813968000000,185814000000000,0.594000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,1,2638,2641,0.877437010671,0.882038953034,75,7.5,25,1,2608,2607,0.843689433337,0.842155452549,76,7.6,26,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,75,7.5,26,1
9,2026-09-05T08:30:52.777175+00:00,185814015000000,185814046000000,0.640000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,0,2638,2641,0.877437010671,0.882038953034,75,7.5,25,0,2608,2607,0.843689433337,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,76,7.6,26,1
10,2026-09-05T08:30:52.822842+00:00,185814062000000,185814093000000,0.687000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,1,2638,2641,0.877437010671,0.882038953034,75,7.5,25,0,2608,2607,0.843689433337,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,75,7.5,26,0
11,2026-09-05T08:30:52.883153+00:00,185814125000000,185814156000000,0.750000000,online_inference,0,0,2087,2089,0.098174770425,0.101242732000,76,7.6,27,1,2638,2641,0.877437010671,0.882038953034,75,7.5,25,0,2608,2607,0.843689433337,0.842155452549,76,7.6,26,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2077,2074,0.016873788667,0.012271846303,76,7.6,26,1
