command_index,host_utc,dispatch_monotonic_ns,elapsed_s,phase,planned_phase_time_s,segment_index,changed_servo_ids,j1_target_raw,j2_target_raw,j3_target_raw,j4_target_raw,j5_target_raw
0,2026-09-05T04:48:48.869927+00:00,172490140000000,0.000000000,seed_hold,0.000000000,-1,1;2;3;4;5,2089,2637,2609,2726,2076
1,2026-09-05T04:48:48.902938+00:00,172490171000000,0.031000000,start_alignment,0.017578125,-1,1;3,2088,2637,2608,2726,2076
2,2026-09-05T04:48:48.960217+00:00,172490234000000,0.094000000,start_alignment,0.035156250,-1,3,2088,2637,2607,2726,2076
3,2026-09-05T04:48:52.834791+00:00,172494109000000,3.969000000,fixed_trajectory,0.017578125,0,2;4,2088,2638,2607,2725,2076
4,2026-09-05T04:48:52.874471+00:00,172494156000000,4.016000000,fixed_trajectory,0.035156250,0,3;4;5,2088,2638,2606,2724,2075
5,2026-09-05T04:48:52.920797+00:00,172494203000000,4.063000000,fixed_trajectory,0.052734375,0,2;4,2088,2639,2606,2723,2075
6,2026-09-05T04:48:52.978023+00:00,172494250000000,4.110000000,fixed_trajectory,0.070312500,0,3;4;5,2088,2639,2605,2722,2074
7,2026-09-05T04:48:53.016981+00:00,172494296000000,4.156000000,fixed_trajectory,0.087890625,0,2;4,2088,2640,2605,2721,2074
8,2026-09-05T04:48:53.079074+00:00,172494359000000,4.219000000,fixed_trajectory,0.105468750,0,3;4;5,2088,2640,2604,2720,2073
9,2026-09-05T04:48:53.126672+00:00,172494406000000,4.266000000,fixed_trajectory,0.123046875,0,2;4,2088,2641,2604,2719,2073
10,2026-09-05T04:48:53.178072+00:00,172494453000000,4.313000000,fixed_trajectory,0.140625000,0,2;4;5,2088,2642,2604,2718,2072
11,2026-09-05T04:48:53.216589+00:00,172494484000000,4.344000000,fixed_trajectory,0.158203125,0,3;4,2088,2642,2603,2717,2072
12,2026-09-05T04:48:53.273049+00:00,172494546000000,4.406000000,fixed_trajectory,0.175781250,0,2;4;5,2088,2643,2603,2716,2071
13,2026-09-05T04:48:53.452893+00:00,172494734000000,4.594000000,fixed_trajectory,0.193359375,0,3;4,2088,2643,2602,2715,2071
14,2026-09-05T04:48:53.482436+00:00,172494750000000,4.610000000,fixed_trajectory,0.210937500,0,2;4,2088,2644,2602,2714,2071
15,2026-09-05T04:48:53.526267+00:00,172494796000000,4.656000000,fixed_trajectory,0.228515625,0,2;3;4;5,2088,2645,2601,2713,2070
16,2026-09-05T04:48:53.561798+00:00,172494843000000,4.703000000,fixed_trajectory,0.246093750,0,4,2088,2645,2601,2712,2070
17,2026-09-05T04:48:53.620564+00:00,172494890000000,4.750000000,fixed_trajectory,0.263671875,0,2;3;4;5,2088,2646,2600,2711,2069
18,2026-09-05T04:48:53.662902+00:00,172494937000000,4.797000000,fixed_trajectory,0.281250000,0,4,2088,2646,2600,2710,2069
19,2026-09-05T04:48:53.706566+00:00,172494984000000,4.844000000,fixed_trajectory,0.298828125,0,2;4;5,2088,2647,2600,2709,2068
20,2026-09-05T04:48:53.765408+00:00,172495046000000,4.906000000,fixed_trajectory,0.316406250,0,3;4,2088,2647,2599,2708,2068
21,2026-09-05T04:48:53.815541+00:00,172495093000000,4.953000000,fixed_trajectory,0.333984375,0,2;4;5,2088,2648,2599,2707,2067
22,2026-09-05T04:48:53.862294+00:00,172495140000000,5.000000000,fixed_trajectory,0.351562500,0,2;3;4,2088,2649,2598,2706,2067
23,2026-09-05T04:48:54.064084+00:00,172495343000000,5.203000000,fixed_trajectory,0.369140625,0,4;5,2088,2649,2598,2705,2066
24,2026-09-05T04:48:54.098117+00:00,172495375000000,5.235000000,fixed_trajectory,0.386718750,0,2;3;4,2088,2650,2597,2704,2066
25,2026-09-05T04:48:54.138991+00:00,172495406000000,5.266000000,fixed_trajectory,0.404296875,0,4,2088,2650,2597,2703,2066
26,2026-09-05T04:48:54.196621+00:00,172495468000000,5.328000000,fixed_trajectory,0.421875000,0,2;4;5,2088,2651,2597,2702,2065
27,2026-09-05T04:48:54.232854+00:00,172495515000000,5.375000000,fixed_trajectory,0.439453125,0,2;3;4,2088,2652,2596,2701,2065
28,2026-09-05T04:48:54.293674+00:00,172495562000000,5.422000000,fixed_trajectory,0.457031250,0,4;5,2088,2652,2596,2700,2064
29,2026-09-05T04:48:54.334210+00:00,172495609000000,5.469000000,fixed_trajectory,0.474609375,0,2;3;4,2088,2653,2595,2699,2064
30,2026-09-05T04:48:54.393773+00:00,172495671000000,5.531000000,fixed_trajectory,0.492187500,0,4;5,2088,2653,2595,2698,2063
31,2026-09-05T04:48:54.434824+00:00,172495703000000,5.563000000,fixed_trajectory,0.509765625,0,2;3;4,2088,2654,2594,2697,2063
32,2026-09-05T04:48:54.488740+00:00,172495765000000,5.625000000,fixed_trajectory,0.527343750,0,4;5,2088,2654,2594,2696,2062
