camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
daheng_sn_FDE23080341,0,172488796000000,172488796000000,172488796000000,2026-09-05T04:48:47.562664+00:00,0,6837128047475,1920,1200
daheng_sn_FDE23080341,1,172488890000000,172488890000000,172488890000000,2026-09-05T04:48:47.631301+00:00,1,6837135732275,1920,1200
daheng_sn_FDE23080341,2,172488984000000,172488984000000,172488984000000,2026-09-05T04:48:47.728467+00:00,2,6837143417075,1920,1200
daheng_sn_FDE23080341,3,172489078000000,172489078000000,172489078000000,2026-09-05T04:48:47.815954+00:00,3,6837151101875,1920,1200
directshow_index_1,0,172488828000000,172489125000000,172488976500000,2026-09-05T04:48:47.855565+00:00,,,640,480
directshow_index_1,1,172489125000000,172489156000000,172489140500000,2026-09-05T04:48:47.885455+00:00,,,640,480
daheng_sn_FDE23080341,4,172489171000000,172489171000000,172489171000000,2026-09-05T04:48:47.912877+00:00,4,6837158786675,1920,1200
directshow_index_1,2,172489218000000,172489218000000,172489218000000,2026-09-05T04:48:47.942541+00:00,,,640,480
daheng_sn_FDE23080341,5,172489265000000,172489265000000,172489265000000,2026-09-05T04:48:48.007430+00:00,5,6837166471475,1920,1200
directshow_index_1,3,172489312000000,172489312000000,172489312000000,2026-09-05T04:48:48.033321+00:00,,,640,480
daheng_sn_FDE23080341,6,172489359000000,172489359000000,172489359000000,2026-09-05T04:48:48.103803+00:00,6,6837174156275,1920,1200
directshow_index_1,4,172489406000000,172489406000000,172489406000000,2026-09-05T04:48:48.129998+00:00,,,640,480
daheng_sn_FDE23080341,7,172489453000000,172489453000000,172489453000000,2026-09-05T04:48:48.198958+00:00,7,6837181841075,1920,1200
directshow_index_1,5,172489500000000,172489500000000,172489500000000,2026-09-05T04:48:48.222092+00:00,,,640,480
daheng_sn_FDE23080341,8,172489546000000,172489546000000,172489546000000,2026-09-05T04:48:48.286725+00:00,8,6837189525875,1920,1200
directshow_index_1,6,172489593000000,172489593000000,172489593000000,2026-09-05T04:48:48.318508+00:00,,,640,480
daheng_sn_FDE23080341,9,172489640000000,172489640000000,172489640000000,2026-09-05T04:48:48.386253+00:00,9,6837197210675,1920,1200
directshow_index_1,7,172489687000000,172489687000000,172489687000000,2026-09-05T04:48:48.409884+00:00,,,640,480
daheng_sn_FDE23080341,10,172489734000000,172489734000000,172489734000000,2026-09-05T04:48:48.476986+00:00,10,6837204895475,1920,1200
directshow_index_1,8,172489781000000,172489781000000,172489781000000,2026-09-05T04:48:48.500536+00:00,,,640,480
daheng_sn_FDE23080341,11,172489828000000,172489828000000,172489828000000,2026-09-05T04:48:48.573618+00:00,11,6837212580275,1920,1200
directshow_index_1,9,172489875000000,172489875000000,172489875000000,2026-09-05T04:48:48.597176+00:00,,,640,480
daheng_sn_FDE23080341,12,172489921000000,172489921000000,172489921000000,2026-09-05T04:48:48.665928+00:00,12,6837220265075,1920,1200
directshow_index_1,10,172489968000000,172489968000000,172489968000000,2026-09-05T04:48:48.687785+00:00,,,640,480
