command_index,host_utc,dispatch_monotonic_ns,elapsed_s,phase,planned_phase_time_s,segment_index,changed_servo_ids,j1_target_raw,j2_target_raw,j3_target_raw,j4_target_raw,j5_target_raw
0,2026-09-05T04:52:37.884054+00:00,172719156000000,0.000000000,seed_hold,0.000000000,-1,1;2;3;4;5,2089,2635,2611,2726,2076
1,2026-09-05T04:52:37.944828+00:00,172719218000000,0.062000000,start_alignment,0.017578125,-1,2;3,2089,2636,2610,2726,2076
2,2026-09-05T04:52:37.986896+00:00,172719265000000,0.109000000,start_alignment,0.035156250,-1,1;3,2088,2636,2609,2726,2076
3,2026-09-05T04:52:38.037006+00:00,172719312000000,0.156000000,start_alignment,0.052734375,-1,2;3,2088,2637,2608,2726,2076
4,2026-09-05T04:52:38.082526+00:00,172719359000000,0.203000000,start_alignment,0.070312500,-1,3,2088,2637,2607,2726,2076
5,2026-09-05T04:52:41.232990+00:00,172722515000000,3.359000000,fixed_trajectory,0.017578125,0,2;4,2088,2638,2607,2725,2076
6,2026-09-05T04:52:41.280702+00:00,172722562000000,3.406000000,fixed_trajectory,0.035156250,0,3;4;5,2088,2638,2606,2724,2075
7,2026-09-05T04:52:41.349280+00:00,172722625000000,3.469000000,fixed_trajectory,0.052734375,0,2;4,2088,2639,2606,2723,2075
8,2026-09-05T04:52:41.380720+00:00,172722656000000,3.500000000,fixed_trajectory,0.070312500,0,3;4;5,2088,2639,2605,2722,2074
9,2026-09-05T04:52:41.433564+00:00,172722703000000,3.547000000,fixed_trajectory,0.087890625,0,2;4,2088,2640,2605,2721,2074
10,2026-09-05T04:52:41.475425+00:00,172722750000000,3.594000000,fixed_trajectory,0.105468750,0,4;5,2088,2640,2605,2720,2073
11,2026-09-05T04:52:41.538005+00:00,172722812000000,3.656000000,fixed_trajectory,0.123046875,0,2;3;4,2088,2641,2604,2719,2073
12,2026-09-05T04:52:41.578585+00:00,172722859000000,3.703000000,fixed_trajectory,0.140625000,0,4;5,2088,2641,2604,2718,2072
13,2026-09-05T04:52:41.631649+00:00,172722906000000,3.750000000,fixed_trajectory,0.158203125,0,2;3;4,2088,2642,2603,2717,2072
14,2026-09-05T04:52:41.674552+00:00,172722953000000,3.797000000,fixed_trajectory,0.175781250,0,4;5,2088,2642,2603,2716,2071
15,2026-09-05T04:52:41.732879+00:00,172723015000000,3.859000000,fixed_trajectory,0.193359375,0,2;3;4,2088,2643,2602,2715,2071
16,2026-09-05T04:52:41.780765+00:00,172723062000000,3.906000000,fixed_trajectory,0.210937500,0,4;5,2088,2643,2602,2714,2070
17,2026-09-05T04:52:41.978049+00:00,172723250000000,4.094000000,fixed_trajectory,0.228515625,0,2;4,2088,2644,2602,2713,2070
18,2026-09-05T04:52:42.017062+00:00,172723296000000,4.140000000,fixed_trajectory,0.246093750,0,2;3;4;5,2088,2645,2601,2712,2069
19,2026-09-05T04:52:42.061421+00:00,172723343000000,4.187000000,fixed_trajectory,0.263671875,0,4,2088,2645,2601,2711,2069
20,2026-09-05T04:52:42.114853+00:00,172723390000000,4.234000000,fixed_trajectory,0.281250000,0,2;3;4,2088,2646,2600,2710,2069
21,2026-09-05T04:52:42.160130+00:00,172723437000000,4.281000000,fixed_trajectory,0.298828125,0,4;5,2088,2646,2600,2709,2068
22,2026-09-05T04:52:42.215180+00:00,172723484000000,4.328000000,fixed_trajectory,0.316406250,0,2;4,2088,2647,2600,2708,2068
23,2026-09-05T04:52:42.272666+00:00,172723546000000,4.390000000,fixed_trajectory,0.333984375,0,3;4;5,2088,2647,2599,2707,2067
24,2026-09-05T04:52:42.319236+00:00,172723593000000,4.437000000,fixed_trajectory,0.351562500,0,2;4,2088,2648,2599,2706,2067
25,2026-09-05T04:52:42.366311+00:00,172723640000000,4.484000000,fixed_trajectory,0.369140625,0,3;4;5,2088,2648,2598,2705,2066
26,2026-09-05T04:52:42.404763+00:00,172723687000000,4.531000000,fixed_trajectory,0.386718750,0,2;4,2088,2649,2598,2704,2066
27,2026-09-05T04:52:42.610555+00:00,172723890000000,4.734000000,fixed_trajectory,0.404296875,0,4;5,2088,2649,2598,2703,2065
28,2026-09-05T04:52:42.641006+00:00,172723921000000,4.765000000,fixed_trajectory,0.421875000,0,2;3;4,2088,2650,2597,2702,2065
29,2026-09-05T04:52:42.688351+00:00,172723968000000,4.812000000,fixed_trajectory,0.439453125,0,4;5,2088,2650,2597,2701,2064
30,2026-09-05T04:52:42.732535+00:00,172724000000000,4.844000000,fixed_trajectory,0.457031250,0,2;3;4,2088,2651,2596,2700,2064
31,2026-09-05T04:52:42.783306+00:00,172724062000000,4.906000000,fixed_trajectory,0.474609375,0,4;5,2088,2651,2596,2699,2063
32,2026-09-05T04:52:42.842884+00:00,172724125000000,4.969000000,fixed_trajectory,0.492187500,0,2;3;4,2088,2652,2595,2698,2063
33,2026-09-05T04:52:42.890857+00:00,172724171000000,5.015000000,fixed_trajectory,0.509765625,0,2;4,2088,2653,2595,2697,2063
34,2026-09-05T04:52:42.948446+00:00,172724218000000,5.062000000,fixed_trajectory,0.527343750,0,4;5,2088,2653,2595,2696,2062
35,2026-09-05T04:52:42.988643+00:00,172724265000000,5.109000000,fixed_trajectory,0.544921875,0,2;3;4,2088,2654,2594,2695,2062
36,2026-09-05T04:52:43.035725+00:00,172724312000000,5.156000000,fixed_trajectory,0.562500000,0,4;5,2088,2654,2594,2694,2061
37,2026-09-05T04:52:43.225720+00:00,172724500000000,5.344000000,fixed_trajectory,0.580078125,0,2;3;4,2088,2655,2593,2693,2061
38,2026-09-05T04:52:43.266344+00:00,172724546000000,5.390000000,fixed_trajectory,0.597656250,0,4;5,2088,2655,2593,2692,2060
39,2026-09-05T04:52:43.317865+00:00,172724593000000,5.437000000,fixed_trajectory,0.615234375,0,2;4,2088,2656,2593,2691,2060
