camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
daheng_sn_FDE23080341,0,172717828000000,172717843000000,172717835500000,2026-09-05T04:52:36.610093+00:00,0,7066169277150,1920,1200
daheng_sn_FDE23080341,1,172717921000000,172717921000000,172717921000000,2026-09-05T04:52:36.668059+00:00,1,7066176961950,1920,1200
daheng_sn_FDE23080341,2,172718015000000,172718015000000,172718015000000,2026-09-05T04:52:36.756463+00:00,2,7066184646750,1920,1200
daheng_sn_FDE23080341,3,172718109000000,172718109000000,172718109000000,2026-09-05T04:52:36.852849+00:00,3,7066192331550,1920,1200
directshow_index_1,0,172717859000000,172718140000000,172717999500000,2026-09-05T04:52:36.864206+00:00,,,640,480
directshow_index_1,1,172718140000000,172718156000000,172718148000000,2026-09-05T04:52:36.890741+00:00,,,640,480
daheng_sn_FDE23080341,4,172718203000000,172718203000000,172718203000000,2026-09-05T04:52:36.941900+00:00,4,7066200016350,1920,1200
directshow_index_1,2,172718234000000,172718234000000,172718234000000,2026-09-05T04:52:36.953497+00:00,,,640,480
daheng_sn_FDE23080341,5,172718296000000,172718296000000,172718296000000,2026-09-05T04:52:37.040814+00:00,5,7066207701150,1920,1200
directshow_index_1,3,172718328000000,172718328000000,172718328000000,2026-09-05T04:52:37.051340+00:00,,,640,480
daheng_sn_FDE23080341,6,172718390000000,172718390000000,172718390000000,2026-09-05T04:52:37.149100+00:00,6,7066215385950,1920,1200
directshow_index_1,4,172718421000000,172718421000000,172718421000000,2026-09-05T04:52:37.149100+00:00,,,640,480
daheng_sn_FDE23080341,7,172718484000000,172718484000000,172718484000000,2026-09-05T04:52:37.222250+00:00,7,7066223070750,1920,1200
directshow_index_1,5,172718515000000,172718515000000,172718515000000,2026-09-05T04:52:37.238291+00:00,,,640,480
daheng_sn_FDE23080341,8,172718578000000,172718578000000,172718578000000,2026-09-05T04:52:37.319401+00:00,8,7066230755550,1920,1200
directshow_index_1,6,172718609000000,172718609000000,172718609000000,2026-09-05T04:52:37.329079+00:00,,,640,480
daheng_sn_FDE23080341,9,172718671000000,172718671000000,172718671000000,2026-09-05T04:52:37.425394+00:00,9,7066238440350,1920,1200
directshow_index_1,7,172718703000000,172718703000000,172718703000000,2026-09-05T04:52:37.426400+00:00,,,640,480
daheng_sn_FDE23080341,10,172718765000000,172718765000000,172718765000000,2026-09-05T04:52:37.515455+00:00,10,7066246125150,1920,1200
directshow_index_1,8,172718796000000,172718796000000,172718796000000,2026-09-05T04:52:37.516457+00:00,,,640,480
daheng_sn_FDE23080341,11,172718859000000,172718859000000,172718859000000,2026-09-05T04:52:37.600118+00:00,11,7066253809950,1920,1200
directshow_index_1,9,172718890000000,172718890000000,172718890000000,2026-09-05T04:52:37.610667+00:00,,,640,480
daheng_sn_FDE23080341,12,172718953000000,172718953000000,172718953000000,2026-09-05T04:52:37.694678+00:00,12,7066261494750,1920,1200
directshow_index_1,10,172718984000000,172718984000000,172718984000000,2026-09-05T04:52:37.705895+00:00,,,640,480
daheng_sn_FDE23080341,13,172719046000000,172719046000000,172719046000000,2026-09-05T04:52:37.795142+00:00,23,7066346027550,1920,1200
directshow_index_1,11,172719078000000,172719078000000,172719078000000,2026-09-05T04:52:37.802141+00:00,,,640,480
daheng_sn_FDE23080341,14,172719140000000,172719140000000,172719140000000,2026-09-05T04:52:37.895053+00:00,36,7066445929950,1920,1200
directshow_index_1,12,172719171000000,172719171000000,172719171000000,2026-09-05T04:52:37.897055+00:00,,,640,480
daheng_sn_FDE23080341,15,172719234000000,172719234000000,172719234000000,2026-09-05T04:52:37.976898+00:00,47,7066530462750,1920,1200
directshow_index_1,13,172719265000000,172719265000000,172719265000000,2026-09-05T04:52:37.986896+00:00,,,640,480
daheng_sn_FDE23080341,16,172719328000000,172719328000000,172719328000000,2026-09-05T04:52:38.071529+00:00,60,7066630365150,1920,1200
directshow_index_1,14,172719359000000,172719359000000,172719359000000,2026-09-05T04:52:38.083526+00:00,,,640,480
daheng_sn_FDE23080341,17,172719421000000,172719421000000,172719421000000,2026-09-05T04:52:38.173594+00:00,72,7066722582750,1920,1200
directshow_index_1,15,172719453000000,172719453000000,172719453000000,2026-09-05T04:52:38.174869+00:00,,,640,480
daheng_sn_FDE23080341,18,172719515000000,172719515000000,172719515000000,2026-09-05T04:52:38.264943+00:00,84,7066814800350,1920,1200
directshow_index_1,16,172719546000000,172719546000000,172719546000000,2026-09-05T04:52:38.274942+00:00,,,640,480
directshow_index_1,17,172719640000000,172719640000000,172719640000000,2026-09-05T04:52:38.362792+00:00,,,640,480
daheng_sn_FDE23080341,19,172719609000000,172719609000000,172719609000000,2026-09-05T04:52:38.371289+00:00,96,7066907017950,1920,1200
directshow_index_1,18,172719734000000,172719734000000,172719734000000,2026-09-05T04:52:38.462284+00:00,,,640,480
daheng_sn_FDE23080341,20,172719703000000,172719703000000,172719703000000,2026-09-05T04:52:38.477583+00:00,109,7067006920350,1920,1200
daheng_sn_FDE23080341,21,172719796000000,172719796000000,172719796000000,2026-09-05T04:52:38.548866+00:00,121,7067099137950,1920,1200
directshow_index_1,19,172719828000000,172719828000000,172719828000000,2026-09-05T04:52:38.554388+00:00,,,640,480
daheng_sn_FDE23080341,22,172719890000000,172719890000000,172719890000000,2026-09-05T04:52:38.640761+00:00,133,7067191355550,1920,1200
directshow_index_1,20,172719921000000,172719921000000,172719921000000,2026-09-05T04:52:38.645365+00:00,,,640,480
daheng_sn_FDE23080341,23,172719984000000,172719984000000,172719984000000,2026-09-05T04:52:38.731938+00:00,145,7067283573150,1920,1200
directshow_index_1,21,172720015000000,172720015000000,172720015000000,2026-09-05T04:52:38.735448+00:00,,,640,480
daheng_sn_FDE23080341,24,172720078000000,172720078000000,172720078000000,2026-09-05T04:52:38.821242+00:00,158,7067383475550,1920,1200
directshow_index_1,22,172720109000000,172720109000000,172720109000000,2026-09-05T04:52:38.831573+00:00,,,640,480
daheng_sn_FDE23080341,25,172720171000000,172720171000000,172720171000000,2026-09-05T04:52:38.919572+00:00,170,7067475693150,1920,1200
directshow_index_1,23,172720203000000,172720203000000,172720203000000,2026-09-05T04:52:38.922807+00:00,,,640,480
