camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
directshow_index_1,0,174143406000000,174143671000000,174143538500000,2026-09-05T05:16:22.484392+00:00,,,640,480
directshow_index_1,1,174143765000000,174143765000000,174143765000000,2026-09-05T05:16:22.491924+00:00,,,640,480
directshow_index_1,2,174143859000000,174143859000000,174143859000000,2026-09-05T05:16:22.581411+00:00,,,640,480
directshow_index_1,3,174143953000000,174143953000000,174143953000000,2026-09-05T05:16:22.674933+00:00,,,640,480
directshow_index_1,4,174144046000000,174144046000000,174144046000000,2026-09-05T05:16:22.770382+00:00,,,640,480
directshow_index_1,5,174144140000000,174144140000000,174144140000000,2026-09-05T05:16:22.862514+00:00,,,640,480
directshow_index_1,6,174144234000000,174144234000000,174144234000000,2026-09-05T05:16:22.957247+00:00,,,640,480
directshow_index_1,7,174144328000000,174144328000000,174144328000000,2026-09-05T05:16:23.054740+00:00,,,640,480
directshow_index_1,8,174144421000000,174144421000000,174144421000000,2026-09-05T05:16:23.143424+00:00,,,640,480
directshow_index_1,9,174144515000000,174144515000000,174144515000000,2026-09-05T05:16:23.237130+00:00,,,640,480
directshow_index_1,10,174144609000000,174144609000000,174144609000000,2026-09-05T05:16:23.335180+00:00,,,640,480
directshow_index_1,11,174144703000000,174144703000000,174144703000000,2026-09-05T05:16:23.430917+00:00,,,640,480
daheng_sn_FDE23080341,0,174144734000000,174144750000000,174144742000000,2026-09-05T05:16:23.515757+00:00,0,8493099788625,1920,1200
directshow_index_1,12,174144796000000,174144796000000,174144796000000,2026-09-05T05:16:23.517752+00:00,,,640,480
daheng_sn_FDE23080341,1,174144828000000,174144828000000,174144828000000,2026-09-05T05:16:23.581864+00:00,1,8493107473425,1920,1200
directshow_index_1,13,174144890000000,174144890000000,174144890000000,2026-09-05T05:16:23.611099+00:00,,,640,480
daheng_sn_FDE23080341,2,174144921000000,174144921000000,174144921000000,2026-09-05T05:16:23.676322+00:00,2,8493115158225,1920,1200
directshow_index_1,14,174144984000000,174144984000000,174144984000000,2026-09-05T05:16:23.705029+00:00,,,640,480
daheng_sn_FDE23080341,3,174145015000000,174145015000000,174145015000000,2026-09-05T05:16:23.762705+00:00,3,8493122843025,1920,1200
directshow_index_1,15,174145078000000,174145078000000,174145078000000,2026-09-05T05:16:23.799205+00:00,,,640,480
daheng_sn_FDE23080341,4,174145109000000,174145109000000,174145109000000,2026-09-05T05:16:23.874330+00:00,4,8493130527825,1920,1200
directshow_index_1,16,174145171000000,174145171000000,174145171000000,2026-09-05T05:16:23.897907+00:00,,,640,480
daheng_sn_FDE23080341,5,174145203000000,174145203000000,174145203000000,2026-09-05T05:16:23.953890+00:00,5,8493138212625,1920,1200
directshow_index_1,17,174145265000000,174145265000000,174145265000000,2026-09-05T05:16:23.986976+00:00,,,640,480
daheng_sn_FDE23080341,6,174145296000000,174145296000000,174145296000000,2026-09-05T05:16:24.049703+00:00,6,8493145897425,1920,1200
directshow_index_1,18,174145359000000,174145359000000,174145359000000,2026-09-05T05:16:24.083410+00:00,,,640,480
daheng_sn_FDE23080341,7,174145390000000,174145390000000,174145390000000,2026-09-05T05:16:24.167125+00:00,7,8493153582225,1920,1200
directshow_index_1,19,174145453000000,174145453000000,174145453000000,2026-09-05T05:16:24.176663+00:00,,,640,480
daheng_sn_FDE23080341,8,174145484000000,174145484000000,174145484000000,2026-09-05T05:16:24.237771+00:00,8,8493161267025,1920,1200
directshow_index_1,20,174145546000000,174145546000000,174145546000000,2026-09-05T05:16:24.271842+00:00,,,640,480
daheng_sn_FDE23080341,9,174145578000000,174145578000000,174145578000000,2026-09-05T05:16:24.341727+00:00,9,8493168951825,1920,1200
directshow_index_1,21,174145640000000,174145640000000,174145640000000,2026-09-05T05:16:24.365647+00:00,,,640,480
daheng_sn_FDE23080341,10,174145671000000,174145671000000,174145671000000,2026-09-05T05:16:24.432211+00:00,10,8493176636625,1920,1200
directshow_index_1,22,174145734000000,174145734000000,174145734000000,2026-09-05T05:16:24.458369+00:00,,,640,480
daheng_sn_FDE23080341,11,174145765000000,174145765000000,174145765000000,2026-09-05T05:16:24.514262+00:00,11,8493184321425,1920,1200
directshow_index_1,23,174145828000000,174145828000000,174145828000000,2026-09-05T05:16:24.551792+00:00,,,640,480
daheng_sn_FDE23080341,12,174145859000000,174145859000000,174145859000000,2026-09-05T05:16:24.605605+00:00,12,8493192006225,1920,1200
directshow_index_1,24,174145921000000,174145921000000,174145921000000,2026-09-05T05:16:24.646582+00:00,,,640,480
daheng_sn_FDE23080341,13,174145953000000,174145953000000,174145953000000,2026-09-05T05:16:24.707839+00:00,23,8493276539025,1920,1200
directshow_index_1,25,174146015000000,174146015000000,174146015000000,2026-09-05T05:16:24.739426+00:00,,,640,480
daheng_sn_FDE23080341,14,174146046000000,174146046000000,174146046000000,2026-09-05T05:16:24.802841+00:00,35,8493368756625,1920,1200
directshow_index_1,26,174146109000000,174146109000000,174146109000000,2026-09-05T05:16:24.834888+00:00,,,640,480
daheng_sn_FDE23080341,15,174146140000000,174146140000000,174146140000000,2026-09-05T05:16:24.900099+00:00,48,8493468659025,1920,1200
directshow_index_1,27,174146203000000,174146203000000,174146203000000,2026-09-05T05:16:24.928553+00:00,,,640,480
daheng_sn_FDE23080341,16,174146234000000,174146234000000,174146234000000,2026-09-05T05:16:25.002862+00:00,60,8493560876625,1920,1200
directshow_index_1,28,174146296000000,174146296000000,174146296000000,2026-09-05T05:16:25.022888+00:00,,,640,480
daheng_sn_FDE23080341,17,174146328000000,174146328000000,174146328000000,2026-09-05T05:16:25.094684+00:00,72,8493653094225,1920,1200
directshow_index_1,29,174146390000000,174146390000000,174146390000000,2026-09-05T05:16:25.116193+00:00,,,640,480
daheng_sn_FDE23080341,18,174146421000000,174146421000000,174146421000000,2026-09-05T05:16:25.175306+00:00,84,8493745311825,1920,1200
directshow_index_1,30,174146484000000,174146484000000,174146484000000,2026-09-05T05:16:25.212926+00:00,,,640,480
daheng_sn_FDE23080341,19,174146515000000,174146515000000,174146515000000,2026-09-05T05:16:25.270286+00:00,96,8493837529425,1920,1200
directshow_index_1,31,174146578000000,174146578000000,174146578000000,2026-09-05T05:16:25.299921+00:00,,,640,480
daheng_sn_FDE23080341,20,174146609000000,174146609000000,174146609000000,2026-09-05T05:16:25.363486+00:00,109,8493937431825,1920,1200
directshow_index_1,32,174146671000000,174146671000000,174146671000000,2026-09-05T05:16:25.393487+00:00,,,640,480
daheng_sn_FDE23080341,21,174146703000000,174146703000000,174146703000000,2026-09-05T05:16:25.452440+00:00,120,8494021964625,1920,1200
directshow_index_1,33,174146765000000,174146765000000,174146765000000,2026-09-05T05:16:25.485963+00:00,,,640,480
daheng_sn_FDE23080341,22,174146796000000,174146796000000,174146796000000,2026-09-05T05:16:25.553262+00:00,133,8494121867025,1920,1200
directshow_index_1,34,174146859000000,174146859000000,174146859000000,2026-09-05T05:16:25.585115+00:00,,,640,480
daheng_sn_FDE23080341,23,174146890000000,174146890000000,174146890000000,2026-09-05T05:16:25.636546+00:00,145,8494214084625,1920,1200
directshow_index_1,35,174146953000000,174146953000000,174146953000000,2026-09-05T05:16:25.676120+00:00,,,640,480
daheng_sn_FDE23080341,24,174146984000000,174146984000000,174146984000000,2026-09-05T05:16:25.738096+00:00,157,8494306302225,1920,1200
directshow_index_1,36,174147046000000,174147046000000,174147046000000,2026-09-05T05:16:25.769028+00:00,,,640,480
daheng_sn_FDE23080341,25,174147078000000,174147078000000,174147078000000,2026-09-05T05:16:25.830888+00:00,169,8494398519825,1920,1200
directshow_index_1,37,174147140000000,174147140000000,174147140000000,2026-09-05T05:16:25.861918+00:00,,,640,480
daheng_sn_FDE23080341,26,174147171000000,174147171000000,174147171000000,2026-09-05T05:16:25.921596+00:00,182,8494498422225,1920,1200
directshow_index_1,38,174147234000000,174147234000000,174147234000000,2026-09-05T05:16:25.955307+00:00,,,640,480
daheng_sn_FDE23080341,27,174147265000000,174147265000000,174147265000000,2026-09-05T05:16:26.014068+00:00,194,8494590639825,1920,1200
directshow_index_1,39,174147328000000,174147328000000,174147328000000,2026-09-05T05:16:26.048009+00:00,,,640,480
daheng_sn_FDE23080341,28,174147359000000,174147359000000,174147359000000,2026-09-05T05:16:26.113685+00:00,207,8494690542225,1920,1200
directshow_index_1,40,174147421000000,174147421000000,174147421000000,2026-09-05T05:16:26.145610+00:00,,,640,480
daheng_sn_FDE23080341,29,174147453000000,174147453000000,174147453000000,2026-09-05T05:16:26.203594+00:00,219,8494782759825,1920,1200
directshow_index_1,41,174147515000000,174147515000000,174147515000000,2026-09-05T05:16:26.240052+00:00,,,640,480
daheng_sn_FDE23080341,30,174147546000000,174147546000000,174147546000000,2026-09-05T05:16:26.301024+00:00,230,8494867292625,1920,1200
directshow_index_1,42,174147609000000,174147609000000,174147609000000,2026-09-05T05:16:26.332850+00:00,,,640,480
daheng_sn_FDE23080341,31,174147640000000,174147640000000,174147640000000,2026-09-05T05:16:26.393282+00:00,243,8494967195025,1920,1200
directshow_index_1,43,174147703000000,174147703000000,174147703000000,2026-09-05T05:16:26.426241+00:00,,,640,480
daheng_sn_FDE23080341,32,174147734000000,174147734000000,174147734000000,2026-09-05T05:16:26.484643+00:00,255,8495059412625,1920,1200
directshow_index_1,44,174147796000000,174147796000000,174147796000000,2026-09-05T05:16:26.516160+00:00,,,640,480
daheng_sn_FDE23080341,33,174147828000000,174147828000000,174147828000000,2026-09-05T05:16:26.580225+00:00,267,8495151630225,1920,1200
directshow_index_1,45,174147890000000,174147890000000,174147890000000,2026-09-05T05:16:26.614859+00:00,,,640,480
daheng_sn_FDE23080341,34,174147921000000,174147921000000,174147921000000,2026-09-05T05:16:26.677185+00:00,279,8495243847825,1920,1200
directshow_index_1,46,174147984000000,174147984000000,174147984000000,2026-09-05T05:16:26.709520+00:00,,,640,480
daheng_sn_FDE23080341,35,174148015000000,174148015000000,174148015000000,2026-09-05T05:16:26.764433+00:00,292,8495343750225,1920,1200
directshow_index_1,47,174148078000000,174148078000000,174148078000000,2026-09-05T05:16:26.804411+00:00,,,640,480
daheng_sn_FDE23080341,36,174148109000000,174148109000000,174148109000000,2026-09-05T05:16:26.859729+00:00,304,8495435967825,1920,1200
directshow_index_1,48,174148171000000,174148171000000,174148171000000,2026-09-05T05:16:26.896729+00:00,,,640,480
daheng_sn_FDE23080341,37,174148203000000,174148203000000,174148203000000,2026-09-05T05:16:26.950114+00:00,315,8495520500625,1920,1200
directshow_index_1,49,174148265000000,174148265000000,174148265000000,2026-09-05T05:16:26.988889+00:00,,,640,480
daheng_sn_FDE23080341,38,174148296000000,174148296000000,174148296000000,2026-09-05T05:16:27.049024+00:00,328,8495620403025,1920,1200
directshow_index_1,50,174148359000000,174148359000000,174148359000000,2026-09-05T05:16:27.082057+00:00,,,640,480
daheng_sn_FDE23080341,39,174148390000000,174148390000000,174148390000000,2026-09-05T05:16:27.145682+00:00,340,8495712620625,1920,1200
directshow_index_1,51,174148453000000,174148453000000,174148453000000,2026-09-05T05:16:27.175798+00:00,,,640,480
daheng_sn_FDE23080341,40,174148484000000,174148484000000,174148484000000,2026-09-05T05:16:27.264583+00:00,352,8495804838225,1920,1200
directshow_index_1,52,174148546000000,174148546000000,174148546000000,2026-09-05T05:16:27.268576+00:00,,,640,480
daheng_sn_FDE23080341,41,174148578000000,174148578000000,174148578000000,2026-09-05T05:16:27.330377+00:00,365,8495904740625,1920,1200
directshow_index_1,53,174148640000000,174148640000000,174148640000000,2026-09-05T05:16:27.362835+00:00,,,640,480
daheng_sn_FDE23080341,42,174148671000000,174148671000000,174148671000000,2026-09-05T05:16:27.422482+00:00,377,8495996958225,1920,1200
directshow_index_1,54,174148734000000,174148734000000,174148734000000,2026-09-05T05:16:27.457742+00:00,,,640,480
daheng_sn_FDE23080341,43,174148765000000,174148765000000,174148765000000,2026-09-05T05:16:27.516773+00:00,389,8496089175825,1920,1200
directshow_index_1,55,174148828000000,174148828000000,174148828000000,2026-09-05T05:16:27.551278+00:00,,,640,480
