sample_index,host_utc,read_start_monotonic_ns,read_end_monotonic_ns,elapsed_s,phase,segment_index,read_retry_count,j1_position_raw,j1_target_raw,j1_position_rad,j1_target_rad,j1_voltage_raw,j1_voltage_v,j1_temperature_c,j1_current_raw,j2_position_raw,j2_target_raw,j2_position_rad,j2_target_rad,j2_voltage_raw,j2_voltage_v,j2_temperature_c,j2_current_raw,j3_position_raw,j3_target_raw,j3_position_rad,j3_target_rad,j3_voltage_raw,j3_voltage_v,j3_temperature_c,j3_current_raw,j4_position_raw,j4_target_raw,j4_position_rad,j4_target_rad,j4_voltage_raw,j4_voltage_v,j4_temperature_c,j4_current_raw,j5_position_raw,j5_target_raw,j5_position_rad,j5_target_rad,j5_voltage_raw,j5_voltage_v,j5_temperature_c,j5_current_raw
0,2026-09-05T05:16:24.589549+00:00,174145828000000,174145859000000,0.047000000,start_alignment,-1,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,2,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2726,0.997087512126,0.997087512126,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,1
1,2026-09-05T05:16:24.633592+00:00,174145875000000,174145906000000,0.094000000,start_alignment,-1,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,1,2607,2607,0.842155452549,0.842155452549,76,7.6,27,1,2726,2725,0.997087512126,0.995553531338,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,1
2,2026-09-05T05:16:24.689581+00:00,174145921000000,174145968000000,0.156000000,start_alignment,-1,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,1,2607,2607,0.842155452549,0.842155452549,76,7.6,27,1,2726,2724,0.997087512126,0.994019550550,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,1
3,2026-09-05T05:16:24.916882+00:00,174146140000000,174146187000000,0.375000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
4,2026-09-05T05:16:24.963237+00:00,174146203000000,174146234000000,0.422000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
5,2026-09-05T05:16:25.009856+00:00,174146250000000,174146281000000,0.469000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
6,2026-09-05T05:16:25.070230+00:00,174146296000000,174146343000000,0.531000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
7,2026-09-05T05:16:25.118193+00:00,174146359000000,174146390000000,0.578000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,75,7.5,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
8,2026-09-05T05:16:25.174770+00:00,174146406000000,174146453000000,0.641000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
9,2026-09-05T05:16:25.223154+00:00,174146468000000,174146500000000,0.688000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,1
10,2026-09-05T05:16:25.285416+00:00,174146515000000,174146562000000,0.750000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
11,2026-09-05T05:16:25.342488+00:00,174146578000000,174146625000000,0.813000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
12,2026-09-05T05:16:25.411494+00:00,174146640000000,174146687000000,0.875000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
13,2026-09-05T05:16:25.466834+00:00,174146703000000,174146734000000,0.922000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
14,2026-09-05T05:16:25.514487+00:00,174146750000000,174146796000000,0.984000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
15,2026-09-05T05:16:25.574595+00:00,174146812000000,174146843000000,1.031000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
16,2026-09-05T05:16:25.630819+00:00,174146859000000,174146906000000,1.094000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
17,2026-09-05T05:16:25.676624+00:00,174146921000000,174146953000000,1.141000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,1,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
18,2026-09-05T05:16:25.743562+00:00,174146968000000,174147015000000,1.203000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
19,2026-09-05T05:16:25.788030+00:00,174147031000000,174147062000000,1.250000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,25,0,2607,2607,0.842155452549,0.842155452549,76,7.6,26,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
20,2026-09-05T05:16:25.849507+00:00,174147078000000,174147125000000,1.313000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
21,2026-09-05T05:16:25.923153+00:00,174147156000000,174147203000000,1.391000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,26,1,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
