camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
directshow_index_1,0,173267609000000,173267890000000,173267749500000,2026-09-05T05:01:46.617639+00:00,,,640,480
directshow_index_1,1,173267890000000,173267921000000,173267905500000,2026-09-05T05:01:46.646841+00:00,,,640,480
directshow_index_1,2,173267984000000,173267984000000,173267984000000,2026-09-05T05:01:46.708712+00:00,,,640,480
directshow_index_1,3,173268078000000,173268078000000,173268078000000,2026-09-05T05:01:46.799603+00:00,,,640,480
directshow_index_1,4,173268171000000,173268171000000,173268171000000,2026-09-05T05:01:46.896731+00:00,,,640,480
directshow_index_1,5,173268265000000,173268265000000,173268265000000,2026-09-05T05:01:46.985423+00:00,,,640,480
directshow_index_1,6,173268359000000,173268359000000,173268359000000,2026-09-05T05:01:47.082862+00:00,,,640,480
directshow_index_1,7,173268453000000,173268453000000,173268453000000,2026-09-05T05:01:47.179665+00:00,,,640,480
directshow_index_1,8,173268546000000,173268546000000,173268546000000,2026-09-05T05:01:47.268811+00:00,,,640,480
directshow_index_1,9,173268640000000,173268640000000,173268640000000,2026-09-05T05:01:47.362661+00:00,,,640,480
directshow_index_1,10,173268734000000,173268734000000,173268734000000,2026-09-05T05:01:47.459464+00:00,,,640,480
directshow_index_1,11,173268828000000,173268828000000,173268828000000,2026-09-05T05:01:47.551952+00:00,,,640,480
directshow_index_1,12,173268921000000,173268921000000,173268921000000,2026-09-05T05:01:47.642628+00:00,,,640,480
directshow_index_1,13,173269015000000,173269015000000,173269015000000,2026-09-05T05:01:47.738276+00:00,,,640,480
daheng_sn_FDE23080341,0,173268984000000,173269000000000,173268992000000,2026-09-05T05:01:47.747271+00:00,0,7617332601050,1920,1200
daheng_sn_FDE23080341,1,173269078000000,173269078000000,173269078000000,2026-09-05T05:01:47.832097+00:00,1,7617340285850,1920,1200
directshow_index_1,14,173269109000000,173269109000000,173269109000000,2026-09-05T05:01:47.832644+00:00,,,640,480
daheng_sn_FDE23080341,2,173269171000000,173269171000000,173269171000000,2026-09-05T05:01:47.919179+00:00,2,7617347970650,1920,1200
directshow_index_1,15,173269203000000,173269203000000,173269203000000,2026-09-05T05:01:47.922277+00:00,,,640,480
daheng_sn_FDE23080341,3,173269265000000,173269265000000,173269265000000,2026-09-05T05:01:48.016647+00:00,3,7617355655450,1920,1200
directshow_index_1,16,173269296000000,173269296000000,173269296000000,2026-09-05T05:01:48.019660+00:00,,,640,480
daheng_sn_FDE23080341,4,173269359000000,173269359000000,173269359000000,2026-09-05T05:01:48.099785+00:00,4,7617363340250,1920,1200
directshow_index_1,17,173269390000000,173269390000000,173269390000000,2026-09-05T05:01:48.110329+00:00,,,640,480
daheng_sn_FDE23080341,5,173269453000000,173269453000000,173269453000000,2026-09-05T05:01:48.192622+00:00,5,7617371025050,1920,1200
directshow_index_1,18,173269484000000,173269484000000,173269484000000,2026-09-05T05:01:48.206148+00:00,,,640,480
daheng_sn_FDE23080341,6,173269546000000,173269546000000,173269546000000,2026-09-05T05:01:48.294993+00:00,6,7617378709850,1920,1200
directshow_index_1,19,173269578000000,173269578000000,173269578000000,2026-09-05T05:01:48.301526+00:00,,,640,480
daheng_sn_FDE23080341,7,173269640000000,173269640000000,173269640000000,2026-09-05T05:01:48.394652+00:00,7,7617386394650,1920,1200
directshow_index_1,20,173269671000000,173269671000000,173269671000000,2026-09-05T05:01:48.395405+00:00,,,640,480
daheng_sn_FDE23080341,8,173269734000000,173269734000000,173269734000000,2026-09-05T05:01:48.474715+00:00,8,7617394079450,1920,1200
directshow_index_1,21,173269765000000,173269765000000,173269765000000,2026-09-05T05:01:48.485232+00:00,,,640,480
daheng_sn_FDE23080341,9,173269828000000,173269828000000,173269828000000,2026-09-05T05:01:48.570807+00:00,9,7617401764250,1920,1200
directshow_index_1,22,173269859000000,173269859000000,173269859000000,2026-09-05T05:01:48.581814+00:00,,,640,480
daheng_sn_FDE23080341,10,173269921000000,173269921000000,173269921000000,2026-09-05T05:01:48.669159+00:00,10,7617409449050,1920,1200
directshow_index_1,23,173269953000000,173269953000000,173269953000000,2026-09-05T05:01:48.673258+00:00,,,640,480
daheng_sn_FDE23080341,11,173270015000000,173270015000000,173270015000000,2026-09-05T05:01:48.758631+00:00,11,7617417133850,1920,1200
directshow_index_1,24,173270046000000,173270046000000,173270046000000,2026-09-05T05:01:48.769985+00:00,,,640,480
daheng_sn_FDE23080341,12,173270109000000,173270109000000,173270109000000,2026-09-05T05:01:48.848171+00:00,12,7617424818650,1920,1200
directshow_index_1,25,173270140000000,173270140000000,173270140000000,2026-09-05T05:01:48.864252+00:00,,,640,480
daheng_sn_FDE23080341,13,173270203000000,173270203000000,173270203000000,2026-09-05T05:01:48.945168+00:00,24,7617517036250,1920,1200
directshow_index_1,26,173270234000000,173270234000000,173270234000000,2026-09-05T05:01:48.954674+00:00,,,640,480
daheng_sn_FDE23080341,14,173270296000000,173270296000000,173270296000000,2026-09-05T05:01:49.037067+00:00,36,7617609253850,1920,1200
directshow_index_1,27,173270328000000,173270328000000,173270328000000,2026-09-05T05:01:49.051786+00:00,,,640,480
directshow_index_1,28,173270421000000,173270421000000,173270421000000,2026-09-05T05:01:49.143463+00:00,,,640,480
daheng_sn_FDE23080341,15,173270390000000,173270390000000,173270390000000,2026-09-05T05:01:49.148176+00:00,48,7617701471450,1920,1200
directshow_index_1,29,173270515000000,173270515000000,173270515000000,2026-09-05T05:01:49.240130+00:00,,,640,480
daheng_sn_FDE23080341,16,173270484000000,173270484000000,173270484000000,2026-09-05T05:01:49.247135+00:00,60,7617793689050,1920,1200
daheng_sn_FDE23080341,17,173270578000000,173270578000000,173270578000000,2026-09-05T05:01:49.329598+00:00,73,7617893591450,1920,1200
directshow_index_1,30,173270609000000,173270609000000,173270609000000,2026-09-05T05:01:49.332598+00:00,,,640,480
daheng_sn_FDE23080341,18,173270671000000,173270671000000,173270671000000,2026-09-05T05:01:49.415249+00:00,85,7617985809050,1920,1200
directshow_index_1,31,173270703000000,173270703000000,173270703000000,2026-09-05T05:01:49.424233+00:00,,,640,480
daheng_sn_FDE23080341,19,173270765000000,173270765000000,173270765000000,2026-09-05T05:01:49.510277+00:00,97,7618078026650,1920,1200
directshow_index_1,32,173270796000000,173270796000000,173270796000000,2026-09-05T05:01:49.522098+00:00,,,640,480
daheng_sn_FDE23080341,20,173270859000000,173270859000000,173270859000000,2026-09-05T05:01:49.604105+00:00,109,7618170244250,1920,1200
directshow_index_1,33,173270890000000,173270890000000,173270890000000,2026-09-05T05:01:49.612217+00:00,,,640,480
daheng_sn_FDE23080341,21,173270953000000,173270953000000,173270953000000,2026-09-05T05:01:49.695301+00:00,121,7618262461850,1920,1200
directshow_index_1,34,173270984000000,173270984000000,173270984000000,2026-09-05T05:01:49.708263+00:00,,,640,480
daheng_sn_FDE23080341,22,173271046000000,173271046000000,173271046000000,2026-09-05T05:01:49.791050+00:00,133,7618354679450,1920,1200
directshow_index_1,35,173271078000000,173271078000000,173271078000000,2026-09-05T05:01:49.798041+00:00,,,640,480
daheng_sn_FDE23080341,23,173271140000000,173271140000000,173271140000000,2026-09-05T05:01:49.881613+00:00,145,7618446897050,1920,1200
directshow_index_1,36,173271171000000,173271171000000,173271171000000,2026-09-05T05:01:49.890617+00:00,,,640,480
daheng_sn_FDE23080341,24,173271234000000,173271234000000,173271234000000,2026-09-05T05:01:49.979195+00:00,157,7618539114650,1920,1200
directshow_index_1,37,173271265000000,173271265000000,173271265000000,2026-09-05T05:01:49.986227+00:00,,,640,480
daheng_sn_FDE23080341,25,173271328000000,173271328000000,173271328000000,2026-09-05T05:01:50.067051+00:00,170,7618639017050,1920,1200
directshow_index_1,38,173271359000000,173271359000000,173271359000000,2026-09-05T05:01:50.081042+00:00,,,640,480
daheng_sn_FDE23080341,26,173271421000000,173271421000000,173271421000000,2026-09-05T05:01:50.165550+00:00,182,7618731234650,1920,1200
directshow_index_1,39,173271453000000,173271453000000,173271453000000,2026-09-05T05:01:50.177805+00:00,,,640,480
daheng_sn_FDE23080341,27,173271515000000,173271515000000,173271515000000,2026-09-05T05:01:50.258753+00:00,194,7618823452250,1920,1200
