camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
daheng_sn_FDE23080341,0,173004906000000,173004906000000,173004906000000,2026-09-05T04:57:23.670614+00:00,0,7353246305925,1920,1200
daheng_sn_FDE23080341,1,173005000000000,173005000000000,173005000000000,2026-09-05T04:57:23.738870+00:00,1,7353253990725,1920,1200
daheng_sn_FDE23080341,2,173005093000000,173005093000000,173005093000000,2026-09-05T04:57:23.833888+00:00,2,7353261675525,1920,1200
daheng_sn_FDE23080341,3,173005187000000,173005187000000,173005187000000,2026-09-05T04:57:23.926418+00:00,3,7353269360325,1920,1200
directshow_index_1,0,173005015000000,173005281000000,173005148000000,2026-09-05T04:57:24.009875+00:00,,,640,480
daheng_sn_FDE23080341,4,173005281000000,173005281000000,173005281000000,2026-09-05T04:57:24.020776+00:00,4,7353277045125,1920,1200
directshow_index_1,1,173005281000000,173005312000000,173005296500000,2026-09-05T04:57:24.038863+00:00,,,640,480
directshow_index_1,2,173005375000000,173005375000000,173005375000000,2026-09-05T04:57:24.098431+00:00,,,640,480
daheng_sn_FDE23080341,5,173005375000000,173005375000000,173005375000000,2026-09-05T04:57:24.118847+00:00,5,7353284729925,1920,1200
directshow_index_1,3,173005468000000,173005468000000,173005468000000,2026-09-05T04:57:24.188999+00:00,,,640,480
daheng_sn_FDE23080341,6,173005468000000,173005468000000,173005468000000,2026-09-05T04:57:24.209810+00:00,6,7353292414725,1920,1200
directshow_index_1,4,173005562000000,173005562000000,173005562000000,2026-09-05T04:57:24.289257+00:00,,,640,480
daheng_sn_FDE23080341,7,173005562000000,173005562000000,173005562000000,2026-09-05T04:57:24.304850+00:00,7,7353300099525,1920,1200
directshow_index_1,5,173005656000000,173005656000000,173005656000000,2026-09-05T04:57:24.382951+00:00,,,640,480
daheng_sn_FDE23080341,8,173005656000000,173005656000000,173005656000000,2026-09-05T04:57:24.399586+00:00,8,7353307784325,1920,1200
directshow_index_1,6,173005750000000,173005750000000,173005750000000,2026-09-05T04:57:24.476092+00:00,,,640,480
daheng_sn_FDE23080341,9,173005750000000,173005750000000,173005750000000,2026-09-05T04:57:24.494392+00:00,9,7353315469125,1920,1200
directshow_index_1,7,173005843000000,173005843000000,173005843000000,2026-09-05T04:57:24.567542+00:00,,,640,480
daheng_sn_FDE23080341,10,173005843000000,173005843000000,173005843000000,2026-09-05T04:57:24.583069+00:00,10,7353323153925,1920,1200
directshow_index_1,8,173005937000000,173005937000000,173005937000000,2026-09-05T04:57:24.661359+00:00,,,640,480
daheng_sn_FDE23080341,11,173005937000000,173005937000000,173005937000000,2026-09-05T04:57:24.677515+00:00,11,7353330838725,1920,1200
directshow_index_1,9,173006031000000,173006031000000,173006031000000,2026-09-05T04:57:24.754490+00:00,,,640,480
daheng_sn_FDE23080341,12,173006031000000,173006031000000,173006031000000,2026-09-05T04:57:24.773019+00:00,12,7353338523525,1920,1200
directshow_index_1,10,173006125000000,173006125000000,173006125000000,2026-09-05T04:57:24.854202+00:00,,,640,480
daheng_sn_FDE23080341,13,173006125000000,173006125000000,173006125000000,2026-09-05T04:57:24.878639+00:00,24,7353430741125,1920,1200
directshow_index_1,11,173006218000000,173006218000000,173006218000000,2026-09-05T04:57:24.939386+00:00,,,640,480
daheng_sn_FDE23080341,14,173006218000000,173006218000000,173006218000000,2026-09-05T04:57:24.966728+00:00,36,7353522958725,1920,1200
directshow_index_1,12,173006312000000,173006312000000,173006312000000,2026-09-05T04:57:25.036124+00:00,,,640,480
daheng_sn_FDE23080341,15,173006312000000,173006312000000,173006312000000,2026-09-05T04:57:25.055127+00:00,48,7353615176325,1920,1200
directshow_index_1,13,173006406000000,173006406000000,173006406000000,2026-09-05T04:57:25.132585+00:00,,,640,480
daheng_sn_FDE23080341,16,173006406000000,173006406000000,173006406000000,2026-09-05T04:57:25.154674+00:00,61,7353715078725,1920,1200
directshow_index_1,14,173006500000000,173006500000000,173006500000000,2026-09-05T04:57:25.228191+00:00,,,640,480
daheng_sn_FDE23080341,17,173006500000000,173006500000000,173006500000000,2026-09-05T04:57:25.262500+00:00,73,7353807296325,1920,1200
directshow_index_1,15,173006593000000,173006593000000,173006593000000,2026-09-05T04:57:25.320754+00:00,,,640,480
daheng_sn_FDE23080341,18,173006593000000,173006593000000,173006593000000,2026-09-05T04:57:25.355608+00:00,85,7353899513925,1920,1200
directshow_index_1,16,173006687000000,173006687000000,173006687000000,2026-09-05T04:57:25.414749+00:00,,,640,480
daheng_sn_FDE23080341,19,173006687000000,173006687000000,173006687000000,2026-09-05T04:57:25.439980+00:00,98,7353999416325,1920,1200
directshow_index_1,17,173006781000000,173006781000000,173006781000000,2026-09-05T04:57:25.508522+00:00,,,640,480
daheng_sn_FDE23080341,20,173006781000000,173006781000000,173006781000000,2026-09-05T04:57:25.534751+00:00,110,7354091633925,1920,1200
directshow_index_1,18,173006875000000,173006875000000,173006875000000,2026-09-05T04:57:25.604794+00:00,,,640,480
daheng_sn_FDE23080341,21,173006875000000,173006875000000,173006875000000,2026-09-05T04:57:25.627323+00:00,121,7354176166725,1920,1200
directshow_index_1,19,173006968000000,173006968000000,173006968000000,2026-09-05T04:57:25.689551+00:00,,,640,480
daheng_sn_FDE23080341,22,173006968000000,173006968000000,173006968000000,2026-09-05T04:57:25.713656+00:00,134,7354276069125,1920,1200
directshow_index_1,20,173007062000000,173007062000000,173007062000000,2026-09-05T04:57:25.789021+00:00,,,640,480
daheng_sn_FDE23080341,23,173007062000000,173007062000000,173007062000000,2026-09-05T04:57:25.808557+00:00,146,7354368286725,1920,1200
directshow_index_1,21,173007156000000,173007156000000,173007156000000,2026-09-05T04:57:25.885261+00:00,,,640,480
daheng_sn_FDE23080341,24,173007156000000,173007156000000,173007156000000,2026-09-05T04:57:25.917073+00:00,158,7354460504325,1920,1200
directshow_index_1,22,173007250000000,173007250000000,173007250000000,2026-09-05T04:57:25.969226+00:00,,,640,480
daheng_sn_FDE23080341,25,173007250000000,173007250000000,173007250000000,2026-09-05T04:57:25.992748+00:00,171,7354560406725,1920,1200
directshow_index_1,23,173007343000000,173007343000000,173007343000000,2026-09-05T04:57:26.064949+00:00,,,640,480
daheng_sn_FDE23080341,26,173007343000000,173007343000000,173007343000000,2026-09-05T04:57:26.087932+00:00,183,7354652624325,1920,1200
directshow_index_1,24,173007437000000,173007437000000,173007437000000,2026-09-05T04:57:26.163984+00:00,,,640,480
daheng_sn_FDE23080341,27,173007437000000,173007437000000,173007437000000,2026-09-05T04:57:26.179416+00:00,195,7354744841925,1920,1200
directshow_index_1,25,173007531000000,173007531000000,173007531000000,2026-09-05T04:57:26.254592+00:00,,,640,480
daheng_sn_FDE23080341,28,173007531000000,173007531000000,173007531000000,2026-09-05T04:57:26.278750+00:00,207,7354837059525,1920,1200
directshow_index_1,26,173007625000000,173007625000000,173007625000000,2026-09-05T04:57:26.351611+00:00,,,640,480
daheng_sn_FDE23080341,29,173007625000000,173007625000000,173007625000000,2026-09-05T04:57:26.367609+00:00,220,7354936961925,1920,1200
directshow_index_1,27,173007718000000,173007718000000,173007718000000,2026-09-05T04:57:26.442158+00:00,,,640,480
daheng_sn_FDE23080341,30,173007718000000,173007718000000,173007718000000,2026-09-05T04:57:26.464228+00:00,232,7355029179525,1920,1200
directshow_index_1,28,173007812000000,173007812000000,173007812000000,2026-09-05T04:57:26.534256+00:00,,,640,480
daheng_sn_FDE23080341,31,173007812000000,173007812000000,173007812000000,2026-09-05T04:57:26.556297+00:00,244,7355121397125,1920,1200
directshow_index_1,29,173007906000000,173007906000000,173007906000000,2026-09-05T04:57:26.631613+00:00,,,640,480
daheng_sn_FDE23080341,32,173007906000000,173007906000000,173007906000000,2026-09-05T04:57:26.646382+00:00,256,7355213614725,1920,1200
directshow_index_1,30,173008000000000,173008000000000,173008000000000,2026-09-05T04:57:26.725002+00:00,,,640,480
daheng_sn_FDE23080341,33,173008000000000,173008000000000,173008000000000,2026-09-05T04:57:26.745905+00:00,268,7355305832325,1920,1200
directshow_index_1,31,173008093000000,173008093000000,173008093000000,2026-09-05T04:57:26.815477+00:00,,,640,480
daheng_sn_FDE23080341,34,173008093000000,173008093000000,173008093000000,2026-09-05T04:57:26.834249+00:00,280,7355398049925,1920,1200
directshow_index_1,32,173008187000000,173008187000000,173008187000000,2026-09-05T04:57:26.915657+00:00,,,640,480
daheng_sn_FDE23080341,35,173008187000000,173008187000000,173008187000000,2026-09-05T04:57:26.935037+00:00,292,7355490267525,1920,1200
directshow_index_1,33,173008281000000,173008281000000,173008281000000,2026-09-05T04:57:27.006880+00:00,,,640,480
daheng_sn_FDE23080341,36,173008281000000,173008281000000,173008281000000,2026-09-05T04:57:27.024396+00:00,305,7355590169925,1920,1200
directshow_index_1,34,173008375000000,173008375000000,173008375000000,2026-09-05T04:57:27.099610+00:00,,,640,480
daheng_sn_FDE23080341,37,173008375000000,173008375000000,173008375000000,2026-09-05T04:57:27.113610+00:00,317,7355682387525,1920,1200
directshow_index_1,35,173008468000000,173008468000000,173008468000000,2026-09-05T04:57:27.190973+00:00,,,640,480
daheng_sn_FDE23080341,38,173008468000000,173008468000000,173008468000000,2026-09-05T04:57:27.209427+00:00,329,7355774605125,1920,1200
directshow_index_1,36,173008562000000,173008562000000,173008562000000,2026-09-05T04:57:27.286975+00:00,,,640,480
daheng_sn_FDE23080341,39,173008562000000,173008562000000,173008562000000,2026-09-05T04:57:27.306999+00:00,342,7355874507525,1920,1200
directshow_index_1,37,173008656000000,173008656000000,173008656000000,2026-09-05T04:57:27.378956+00:00,,,640,480
daheng_sn_FDE23080341,40,173008656000000,173008656000000,173008656000000,2026-09-05T04:57:27.396484+00:00,354,7355966725125,1920,1200
directshow_index_1,38,173008750000000,173008750000000,173008750000000,2026-09-05T04:57:27.469687+00:00,,,640,480
daheng_sn_FDE23080341,41,173008750000000,173008750000000,173008750000000,2026-09-05T04:57:27.492696+00:00,366,7356058942725,1920,1200
directshow_index_1,39,173008843000000,173008843000000,173008843000000,2026-09-05T04:57:27.567015+00:00,,,640,480
daheng_sn_FDE23080341,42,173008843000000,173008843000000,173008843000000,2026-09-05T04:57:27.588552+00:00,378,7356151160325,1920,1200
directshow_index_1,40,173008937000000,173008937000000,173008937000000,2026-09-05T04:57:27.657081+00:00,,,640,480
daheng_sn_FDE23080341,43,173008937000000,173008937000000,173008937000000,2026-09-05T04:57:27.678959+00:00,390,7356243377925,1920,1200
directshow_index_1,41,173009031000000,173009031000000,173009031000000,2026-09-05T04:57:27.753782+00:00,,,640,480
daheng_sn_FDE23080341,44,173009031000000,173009031000000,173009031000000,2026-09-05T04:57:27.776780+00:00,402,7356335595525,1920,1200
directshow_index_1,42,173009125000000,173009125000000,173009125000000,2026-09-05T04:57:27.845003+00:00,,,640,480
daheng_sn_FDE23080341,45,173009125000000,173009125000000,173009125000000,2026-09-05T04:57:27.868982+00:00,414,7356427813125,1920,1200
directshow_index_1,43,173009218000000,173009218000000,173009218000000,2026-09-05T04:57:27.947450+00:00,,,640,480
daheng_sn_FDE23080341,46,173009218000000,173009218000000,173009218000000,2026-09-05T04:57:27.966263+00:00,427,7356527715525,1920,1200
directshow_index_1,44,173009312000000,173009312000000,173009312000000,2026-09-05T04:57:28.038429+00:00,,,640,480
daheng_sn_FDE23080341,47,173009312000000,173009312000000,173009312000000,2026-09-05T04:57:28.054982+00:00,439,7356619933125,1920,1200
directshow_index_1,45,173009406000000,173009406000000,173009406000000,2026-09-05T04:57:28.132246+00:00,,,640,480
daheng_sn_FDE23080341,48,173009406000000,173009406000000,173009406000000,2026-09-05T04:57:28.151095+00:00,451,7356712150725,1920,1200
directshow_index_1,46,173009500000000,173009500000000,173009500000000,2026-09-05T04:57:28.223721+00:00,,,640,480
daheng_sn_FDE23080341,49,173009500000000,173009500000000,173009500000000,2026-09-05T04:57:28.242315+00:00,463,7356804368325,1920,1200
directshow_index_1,47,173009593000000,173009593000000,173009593000000,2026-09-05T04:57:28.313449+00:00,,,640,480
daheng_sn_FDE23080341,50,173009593000000,173009593000000,173009593000000,2026-09-05T04:57:28.338531+00:00,476,7356904270725,1920,1200
directshow_index_1,48,173009687000000,173009687000000,173009687000000,2026-09-05T04:57:28.410148+00:00,,,640,480
daheng_sn_FDE23080341,51,173009687000000,173009687000000,173009687000000,2026-09-05T04:57:28.427288+00:00,487,7356988803525,1920,1200
directshow_index_1,49,173009781000000,173009781000000,173009781000000,2026-09-05T04:57:28.506901+00:00,,,640,480
daheng_sn_FDE23080341,52,173009781000000,173009781000000,173009781000000,2026-09-05T04:57:28.527338+00:00,500,7357088705925,1920,1200
directshow_index_1,50,173009875000000,173009875000000,173009875000000,2026-09-05T04:57:28.601201+00:00,,,640,480
daheng_sn_FDE23080341,53,173009875000000,173009875000000,173009875000000,2026-09-05T04:57:28.629017+00:00,512,7357180923525,1920,1200
directshow_index_1,51,173009968000000,173009968000000,173009968000000,2026-09-05T04:57:28.691410+00:00,,,640,480
daheng_sn_FDE23080341,54,173009968000000,173009968000000,173009968000000,2026-09-05T04:57:28.706825+00:00,524,7357273141125,1920,1200
directshow_index_1,52,173010062000000,173010062000000,173010062000000,2026-09-05T04:57:28.785091+00:00,,,640,480
daheng_sn_FDE23080341,55,173010062000000,173010062000000,173010062000000,2026-09-05T04:57:28.801949+00:00,537,7357373043525,1920,1200
directshow_index_1,53,173010156000000,173010156000000,173010156000000,2026-09-05T04:57:28.875509+00:00,,,640,480
daheng_sn_FDE23080341,56,173010156000000,173010156000000,173010156000000,2026-09-05T04:57:28.893524+00:00,549,7357465261125,1920,1200
directshow_index_1,54,173010250000000,173010250000000,173010250000000,2026-09-05T04:57:28.968270+00:00,,,640,480
