command_index,host_utc,dispatch_monotonic_ns,elapsed_s,phase,planned_phase_time_s,segment_index,changed_servo_ids,j1_target_raw,j2_target_raw,j3_target_raw,j4_target_raw,j5_target_raw
0,2026-09-05T05:25:01.658608+00:00,174662937000000,0.000000000,seed_hold,0.000000000,-1,1;2;3;4;5,2089,2641,2605,2722,2074
1,2026-09-05T05:25:01.696715+00:00,174662968000000,0.031000000,start_alignment,0.017578125,-1,3;4,2089,2641,2606,2723,2074
2,2026-09-05T05:25:01.769669+00:00,174663046000000,0.109000000,start_alignment,0.035156250,-1,3,2089,2641,2607,2723,2074
3,2026-09-05T05:25:05.810919+00:00,174667093000000,4.156000000,fixed_trajectory,0.017578125,0,4,2089,2641,2607,2722,2074
4,2026-09-05T05:25:05.848090+00:00,174667125000000,4.188000000,fixed_trajectory,0.035156250,0,4,2089,2641,2607,2721,2074
5,2026-09-05T05:25:05.908913+00:00,174667187000000,4.250000000,fixed_trajectory,0.052734375,0,2;4,2089,2642,2607,2720,2074
6,2026-09-05T05:25:05.961821+00:00,174667234000000,4.297000000,fixed_trajectory,0.070312500,0,4,2089,2642,2607,2719,2074
7,2026-09-05T05:25:06.011022+00:00,174667281000000,4.344000000,fixed_trajectory,0.087890625,0,1;4,2088,2642,2607,2718,2074
8,2026-09-05T05:25:06.054724+00:00,174667328000000,4.391000000,fixed_trajectory,0.105468750,0,4,2088,2642,2607,2717,2074
9,2026-09-05T05:25:06.256597+00:00,174667531000000,4.594000000,fixed_trajectory,0.123046875,0,4;5,2088,2642,2607,2716,2073
10,2026-09-05T05:25:06.303202+00:00,174667578000000,4.641000000,fixed_trajectory,0.140625000,0,2;4,2088,2643,2607,2715,2073
11,2026-09-05T05:25:06.350692+00:00,174667625000000,4.688000000,fixed_trajectory,0.158203125,0,4,2088,2643,2607,2714,2073
12,2026-09-05T05:25:06.399159+00:00,174667671000000,4.734000000,fixed_trajectory,0.175781250,0,4,2088,2643,2607,2713,2073
13,2026-09-05T05:25:06.449759+00:00,174667718000000,4.781000000,fixed_trajectory,0.193359375,0,4,2088,2643,2607,2712,2073
14,2026-09-05T05:25:06.500219+00:00,174667781000000,4.844000000,fixed_trajectory,0.210937500,0,4,2088,2643,2607,2711,2073
15,2026-09-05T05:25:06.560367+00:00,174667828000000,4.891000000,fixed_trajectory,0.228515625,0,1;2;4,2087,2644,2607,2710,2073
16,2026-09-05T05:25:06.611251+00:00,174667890000000,4.953000000,fixed_trajectory,0.246093750,0,4,2087,2644,2607,2709,2073
17,2026-09-05T05:25:06.668957+00:00,174667937000000,5.000000000,fixed_trajectory,0.263671875,0,4,2087,2644,2607,2708,2073
18,2026-09-05T05:25:06.719653+00:00,174668000000000,5.063000000,fixed_trajectory,0.281250000,0,4,2087,2644,2607,2707,2073
19,2026-09-05T05:25:06.917426+00:00,174668187000000,5.250000000,fixed_trajectory,0.298828125,0,4,2087,2644,2607,2706,2073
20,2026-09-05T05:25:06.957703+00:00,174668234000000,5.297000000,fixed_trajectory,0.316406250,0,4,2087,2644,2607,2705,2073
21,2026-09-05T05:25:07.007209+00:00,174668281000000,5.344000000,fixed_trajectory,0.333984375,0,2;4,2087,2645,2607,2704,2073
22,2026-09-05T05:25:07.053813+00:00,174668328000000,5.391000000,fixed_trajectory,0.351562500,0,4;5,2087,2645,2607,2703,2072
23,2026-09-05T05:25:07.102441+00:00,174668375000000,5.438000000,fixed_trajectory,0.369140625,0,4,2087,2645,2607,2702,2072
24,2026-09-05T05:25:07.166782+00:00,174668437000000,5.500000000,fixed_trajectory,0.386718750,0,1;4,2086,2645,2607,2701,2072
25,2026-09-05T05:25:07.220665+00:00,174668500000000,5.563000000,fixed_trajectory,0.404296875,0,4,2086,2645,2607,2700,2072
26,2026-09-05T05:25:07.274359+00:00,174668546000000,5.609000000,fixed_trajectory,0.421875000,0,2;4,2086,2646,2607,2699,2072
27,2026-09-05T05:25:07.320718+00:00,174668593000000,5.656000000,fixed_trajectory,0.439453125,0,4,2086,2646,2607,2698,2072
28,2026-09-05T05:25:07.370326+00:00,174668640000000,5.703000000,fixed_trajectory,0.457031250,0,4,2086,2646,2607,2697,2072
29,2026-09-05T05:25:11.279364+00:00,174672546000000,9.609000000,fixed_trajectory,0.017578125,1,4,2086,2646,2607,2696,2072
30,2026-09-05T05:25:11.322918+00:00,174672593000000,9.656000000,fixed_trajectory,0.035156250,1,4,2086,2646,2607,2695,2072
31,2026-09-05T05:25:11.368149+00:00,174672640000000,9.703000000,fixed_trajectory,0.052734375,1,4,2086,2646,2607,2694,2072
32,2026-09-05T05:25:11.417190+00:00,174672687000000,9.750000000,fixed_trajectory,0.070312500,1,4,2086,2646,2607,2693,2072
33,2026-09-05T05:25:11.461442+00:00,174672734000000,9.797000000,fixed_trajectory,0.087890625,1,2;4,2086,2645,2607,2692,2072
34,2026-09-05T05:25:11.513094+00:00,174672781000000,9.844000000,fixed_trajectory,0.105468750,1,4,2086,2645,2607,2691,2072
35,2026-09-05T05:25:11.564447+00:00,174672843000000,9.906000000,fixed_trajectory,0.123046875,1,4,2086,2645,2607,2690,2072
36,2026-09-05T05:25:11.620040+00:00,174672890000000,9.953000000,fixed_trajectory,0.140625000,1,4,2086,2645,2607,2689,2072
37,2026-09-05T05:25:11.811598+00:00,174673093000000,10.156000000,fixed_trajectory,0.158203125,1,4,2086,2645,2607,2688,2072
38,2026-09-05T05:25:11.844203+00:00,174673125000000,10.188000000,fixed_trajectory,0.175781250,1,4,2086,2645,2607,2687,2072
39,2026-09-05T05:25:11.901119+00:00,174673171000000,10.234000000,fixed_trajectory,0.193359375,1,4,2086,2645,2607,2686,2072
40,2026-09-05T05:25:11.944556+00:00,174673218000000,10.281000000,fixed_trajectory,0.210937500,1,4,2086,2645,2607,2685,2072
41,2026-09-05T05:25:11.996672+00:00,174673265000000,10.328000000,fixed_trajectory,0.228515625,1,4,2086,2645,2607,2684,2072
42,2026-09-05T05:25:12.042712+00:00,174673312000000,10.375000000,fixed_trajectory,0.246093750,1,2;4,2086,2644,2607,2683,2072
43,2026-09-05T05:25:12.095744+00:00,174673375000000,10.438000000,fixed_trajectory,0.263671875,1,4,2086,2644,2607,2682,2072
44,2026-09-05T05:25:12.145612+00:00,174673421000000,10.484000000,fixed_trajectory,0.281250000,1,4,2086,2644,2607,2681,2072
45,2026-09-05T05:25:12.204973+00:00,174673484000000,10.547000000,fixed_trajectory,0.298828125,1,4,2086,2644,2607,2680,2072
46,2026-09-05T05:25:12.263684+00:00,174673531000000,10.594000000,fixed_trajectory,0.316406250,1,4,2086,2644,2607,2679,2072
47,2026-09-05T05:25:18.073119+00:00,174679343000000,16.406000000,fixed_trajectory,0.017578125,2,4,2086,2644,2607,2678,2072
48,2026-09-05T05:25:18.125960+00:00,174679406000000,16.469000000,fixed_trajectory,0.035156250,2,4,2086,2644,2607,2677,2072
49,2026-09-05T05:25:18.225638+00:00,174679500000000,16.563000000,fixed_trajectory,0.052734375,2,4,2086,2644,2607,2676,2072
50,2026-09-05T05:25:18.283637+00:00,174679562000000,16.625000000,fixed_trajectory,0.070312500,2,4,2086,2644,2607,2675,2072
51,2026-09-05T05:25:18.336482+00:00,174679609000000,16.672000000,fixed_trajectory,0.087890625,2,2;4,2086,2645,2607,2674,2072
52,2026-09-05T05:25:18.395481+00:00,174679671000000,16.734000000,fixed_trajectory,0.105468750,2,4,2086,2645,2607,2673,2072
53,2026-09-05T05:25:18.457056+00:00,174679734000000,16.797000000,fixed_trajectory,0.123046875,2,4,2086,2645,2607,2672,2072
54,2026-09-05T05:25:18.514685+00:00,174679796000000,16.859000000,fixed_trajectory,0.140625000,2,4,2086,2645,2607,2671,2072
55,2026-09-05T05:25:18.574733+00:00,174679843000000,16.906000000,fixed_trajectory,0.158203125,2,4;5,2086,2645,2607,2670,2071
56,2026-09-05T05:25:18.626045+00:00,174679906000000,16.969000000,fixed_trajectory,0.175781250,2,4,2086,2645,2607,2669,2071
57,2026-09-05T05:25:18.685691+00:00,174679953000000,17.016000000,fixed_trajectory,0.193359375,2,4,2086,2645,2607,2668,2071
58,2026-09-05T05:25:18.757759+00:00,174680031000000,17.094000000,fixed_trajectory,0.210937500,2,4,2086,2645,2607,2667,2071
59,2026-09-05T05:25:18.795371+00:00,174680078000000,17.141000000,fixed_trajectory,0.228515625,2,4,2086,2645,2607,2666,2071
60,2026-09-05T05:25:18.856835+00:00,174680125000000,17.188000000,fixed_trajectory,0.246093750,2,2;4,2086,2646,2607,2665,2071
61,2026-09-05T05:25:18.904790+00:00,174680187000000,17.250000000,fixed_trajectory,0.263671875,2,4,2086,2646,2607,2664,2071
62,2026-09-05T05:25:18.965162+00:00,174680234000000,17.297000000,fixed_trajectory,0.281250000,2,4,2086,2646,2607,2663,2071
63,2026-09-05T05:25:19.009709+00:00,174680281000000,17.344000000,fixed_trajectory,0.298828125,2,4,2086,2646,2607,2662,2071
64,2026-09-05T05:25:19.063694+00:00,174680343000000,17.406000000,fixed_trajectory,0.316406250,2,4,2086,2646,2607,2661,2071
65,2026-09-05T05:25:25.694260+00:00,174686968000000,24.031000000,fixed_trajectory,0.017578125,3,4,2086,2646,2607,2660,2071
66,2026-09-05T05:25:25.781673+00:00,174687062000000,24.125000000,fixed_trajectory,0.035156250,3,4,2086,2646,2607,2659,2071
67,2026-09-05T05:25:25.823488+00:00,174687093000000,24.156000000,fixed_trajectory,0.052734375,3,2;4,2086,2647,2607,2658,2071
68,2026-09-05T05:25:25.877355+00:00,174687156000000,24.219000000,fixed_trajectory,0.070312500,3,4,2086,2647,2607,2657,2071
69,2026-09-05T05:25:25.931360+00:00,174687203000000,24.266000000,fixed_trajectory,0.087890625,3,4,2086,2647,2607,2656,2071
70,2026-09-05T05:25:25.982746+00:00,174687250000000,24.313000000,fixed_trajectory,0.105468750,3,4,2086,2647,2607,2655,2071
71,2026-09-05T05:25:26.040048+00:00,174687312000000,24.375000000,fixed_trajectory,0.123046875,3,4,2086,2647,2607,2654,2071
72,2026-09-05T05:25:26.095430+00:00,174687375000000,24.438000000,fixed_trajectory,0.140625000,3,2;4,2086,2648,2607,2653,2071
