camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
daheng_sn_FDE23080341,0,174661609000000,174661625000000,174661617000000,2026-09-05T05:25:00.379290+00:00,0,9009979922025,1920,1200
daheng_sn_FDE23080341,1,174661703000000,174661703000000,174661703000000,2026-09-05T05:25:00.444795+00:00,1,9009987606825,1920,1200
daheng_sn_FDE23080341,2,174661796000000,174661796000000,174661796000000,2026-09-05T05:25:00.540941+00:00,2,9009995291625,1920,1200
daheng_sn_FDE23080341,3,174661890000000,174661890000000,174661890000000,2026-09-05T05:25:00.630582+00:00,3,9010002976425,1920,1200
directshow_index_1,0,174661656000000,174661921000000,174661788500000,2026-09-05T05:25:00.646580+00:00,,,640,480
directshow_index_1,1,174661921000000,174661953000000,174661937000000,2026-09-05T05:25:00.678109+00:00,,,640,480
daheng_sn_FDE23080341,4,174661984000000,174661984000000,174661984000000,2026-09-05T05:25:00.724966+00:00,4,9010010661225,1920,1200
directshow_index_1,2,174662015000000,174662015000000,174662015000000,2026-09-05T05:25:00.737509+00:00,,,640,480
daheng_sn_FDE23080341,5,174662078000000,174662078000000,174662078000000,2026-09-05T05:25:00.819020+00:00,5,9010018346025,1920,1200
directshow_index_1,3,174662109000000,174662109000000,174662109000000,2026-09-05T05:25:00.828021+00:00,,,640,480
daheng_sn_FDE23080341,6,174662171000000,174662171000000,174662171000000,2026-09-05T05:25:00.926360+00:00,6,9010026030825,1920,1200
directshow_index_1,4,174662203000000,174662203000000,174662203000000,2026-09-05T05:25:00.926941+00:00,,,640,480
daheng_sn_FDE23080341,7,174662265000000,174662265000000,174662265000000,2026-09-05T05:25:01.007141+00:00,7,9010033715625,1920,1200
directshow_index_1,5,174662296000000,174662296000000,174662296000000,2026-09-05T05:25:01.016183+00:00,,,640,480
daheng_sn_FDE23080341,8,174662359000000,174662359000000,174662359000000,2026-09-05T05:25:01.098293+00:00,8,9010041400425,1920,1200
