command_index,host_utc,dispatch_monotonic_ns,elapsed_s,phase,planned_phase_time_s,segment_index,changed_servo_ids,j1_target_raw,j2_target_raw,j3_target_raw,j4_target_raw,j5_target_raw
0,2026-09-05T05:22:13.230328+00:00,174494500000000,0.000000000,seed_hold,0.000000000,-1,1;2;3;4;5,2089,2641,2606,2726,2074
1,2026-09-05T05:22:13.276333+00:00,174494546000000,0.046000000,start_alignment,0.017578125,-1,4,2089,2641,2606,2725,2074
2,2026-09-05T05:22:13.312485+00:00,174494593000000,0.093000000,start_alignment,0.035156250,-1,3;4,2089,2641,2607,2724,2074
3,2026-09-05T05:22:13.370929+00:00,174494640000000,0.140000000,start_alignment,0.052734375,-1,4,2089,2641,2607,2723,2074
4,2026-09-05T05:22:17.894903+00:00,174499171000000,4.671000000,fixed_trajectory,0.017578125,0,1;4,2088,2641,2607,2722,2074
5,2026-09-05T05:22:17.948580+00:00,174499218000000,4.718000000,fixed_trajectory,0.035156250,0,2;4;5,2088,2642,2607,2721,2073
6,2026-09-05T05:22:17.986251+00:00,174499265000000,4.765000000,fixed_trajectory,0.052734375,0,1;4,2087,2642,2607,2720,2073
7,2026-09-05T05:22:18.046349+00:00,174499328000000,4.828000000,fixed_trajectory,0.070312500,0,4,2087,2642,2607,2719,2073
8,2026-09-05T05:22:22.397578+00:00,174503671000000,9.171000000,fixed_trajectory,0.017578125,1,4,2087,2642,2607,2718,2073
9,2026-09-05T05:22:22.449541+00:00,174503718000000,9.218000000,fixed_trajectory,0.035156250,1,4,2087,2642,2607,2717,2073
10,2026-09-05T05:22:22.493476+00:00,174503765000000,9.265000000,fixed_trajectory,0.052734375,1,4,2087,2642,2607,2716,2073
11,2026-09-05T05:22:22.547169+00:00,174503828000000,9.328000000,fixed_trajectory,0.070312500,1,4,2087,2642,2607,2715,2073
12,2026-09-05T05:22:27.045909+00:00,174508328000000,13.828000000,fixed_trajectory,0.017578125,2,4,2087,2642,2607,2714,2073
13,2026-09-05T05:22:27.079982+00:00,174508359000000,13.859000000,fixed_trajectory,0.035156250,2,4,2087,2642,2607,2713,2073
14,2026-09-05T05:22:27.143169+00:00,174508421000000,13.921000000,fixed_trajectory,0.052734375,2,4,2087,2642,2607,2712,2073
15,2026-09-05T05:22:27.199027+00:00,174508468000000,13.968000000,fixed_trajectory,0.070312500,2,4,2087,2642,2607,2711,2073
16,2026-09-05T05:22:27.252896+00:00,174508531000000,14.031000000,fixed_trajectory,0.087890625,2,4,2087,2642,2607,2710,2073
17,2026-09-05T05:22:31.584161+00:00,174512859000000,18.359000000,fixed_trajectory,0.017578125,3,4,2087,2642,2607,2709,2073
18,2026-09-05T05:22:31.641312+00:00,174512921000000,18.421000000,fixed_trajectory,0.035156250,3,4,2087,2642,2607,2708,2073
19,2026-09-05T05:22:31.687698+00:00,174512968000000,18.468000000,fixed_trajectory,0.052734375,3,4,2087,2642,2607,2707,2073
20,2026-09-05T05:22:31.747248+00:00,174513015000000,18.515000000,fixed_trajectory,0.070312500,3,4,2087,2642,2607,2706,2073
21,2026-09-05T05:22:36.821588+00:00,174518093000000,23.593000000,fixed_trajectory,0.017578125,4,4,2087,2642,2607,2705,2073
22,2026-09-05T05:22:36.869882+00:00,174518140000000,23.640000000,fixed_trajectory,0.035156250,4,4,2087,2642,2607,2704,2073
23,2026-09-05T05:22:36.918652+00:00,174518187000000,23.687000000,fixed_trajectory,0.052734375,4,2;4,2087,2641,2607,2703,2073
24,2026-09-05T05:22:36.972549+00:00,174518250000000,23.750000000,fixed_trajectory,0.070312500,4,4,2087,2641,2607,2702,2073
25,2026-09-05T05:22:37.016112+00:00,174518296000000,23.796000000,fixed_trajectory,0.087890625,4,4,2087,2641,2607,2701,2073
