sample_index,host_utc,read_start_monotonic_ns,read_end_monotonic_ns,elapsed_s,phase,segment_index,read_retry_count,j1_position_raw,j1_target_raw,j1_position_rad,j1_target_rad,j1_voltage_raw,j1_voltage_v,j1_temperature_c,j1_current_raw,j2_position_raw,j2_target_raw,j2_position_rad,j2_target_rad,j2_voltage_raw,j2_voltage_v,j2_temperature_c,j2_current_raw,j3_position_raw,j3_target_raw,j3_position_rad,j3_target_rad,j3_voltage_raw,j3_voltage_v,j3_temperature_c,j3_current_raw,j4_position_raw,j4_target_raw,j4_position_rad,j4_target_rad,j4_voltage_raw,j4_voltage_v,j4_temperature_c,j4_current_raw,j5_position_raw,j5_target_raw,j5_position_rad,j5_target_rad,j5_voltage_raw,j5_voltage_v,j5_temperature_c,j5_current_raw
0,2026-09-05T05:22:13.276333+00:00,174494515000000,174494546000000,0.046000000,start_alignment,-1,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,1,2606,2606,0.840621471761,0.840621471761,76,7.6,27,0,2726,2726,0.997087512126,0.997087512126,75,7.5,27,3,2074,2074,0.012271846303,0.012271846303,76,7.6,26,1
1,2026-09-05T05:22:13.312485+00:00,174494562000000,174494593000000,0.093000000,start_alignment,-1,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,1,2606,2606,0.840621471761,0.840621471761,76,7.6,27,0,2726,2725,0.997087512126,0.995553531338,75,7.5,27,2,2074,2074,0.012271846303,0.012271846303,75,7.5,26,1
2,2026-09-05T05:22:13.370399+00:00,174494609000000,174494640000000,0.140000000,start_alignment,-1,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,1,2606,2607,0.840621471761,0.842155452549,76,7.6,27,0,2726,2724,0.997087512126,0.994019550550,75,7.5,27,2,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
3,2026-09-05T05:22:13.580879+00:00,174494812000000,174494859000000,0.359000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2606,2607,0.840621471761,0.842155452549,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
4,2026-09-05T05:22:13.646913+00:00,174494875000000,174494921000000,0.421000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2606,2607,0.840621471761,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
5,2026-09-05T05:22:13.706538+00:00,174494937000000,174494984000000,0.484000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2606,2607,0.840621471761,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
6,2026-09-05T05:22:13.763425+00:00,174495000000000,174495031000000,0.531000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2606,2607,0.840621471761,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
7,2026-09-05T05:22:13.825980+00:00,174495046000000,174495093000000,0.593000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2606,2607,0.840621471761,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
8,2026-09-05T05:22:13.898053+00:00,174495125000000,174495171000000,0.671000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2606,2607,0.840621471761,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2074,2074,0.012271846303,0.012271846303,76,7.6,26,0
9,2026-09-05T05:22:13.947899+00:00,174495187000000,174495218000000,0.718000000,online_inference,0,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2641,2641,0.882038953034,0.882038953034,75,7.5,26,0,2606,2607,0.840621471761,0.842155452549,76,7.6,27,0,2724,2723,0.994019550550,0.992485569762,75,7.5,27,0,2074,2074,0.012271846303,0.012271846303,75,7.5,26,0
