command_index,host_utc,dispatch_monotonic_ns,elapsed_s,phase,planned_phase_time_s,segment_index,changed_servo_ids,j1_target_raw,j2_target_raw,j3_target_raw,j4_target_raw,j5_target_raw
0,2026-09-05T07:41:57.978697+00:00,182879250000000,0.000000000,seed_hold,0.000000000,-1,1;2;3;4;5,2089,2638,2604,2728,2074
1,2026-09-05T07:41:58.018023+00:00,182879296000000,0.046000000,start_alignment,0.017578125,-1,2;3;4,2089,2639,2605,2727,2074
2,2026-09-05T07:41:58.063449+00:00,182879343000000,0.093000000,start_alignment,0.035156250,-1,4,2089,2639,2605,2726,2074
3,2026-09-05T07:41:58.113925+00:00,182879390000000,0.140000000,start_alignment,0.052734375,-1,2;3;4,2089,2640,2606,2725,2074
4,2026-09-05T07:41:58.158866+00:00,182879437000000,0.187000000,start_alignment,0.070312500,-1,4,2089,2640,2606,2724,2074
5,2026-09-05T07:41:58.212676+00:00,182879484000000,0.234000000,start_alignment,0.087890625,-1,2;3;4,2089,2641,2607,2723,2074
6,2026-09-05T07:42:01.865577+00:00,182883140000000,3.890000000,fixed_trajectory,0.017578125,0,2;3;4,2089,2642,2606,2722,2074
7,2026-09-05T07:42:01.904458+00:00,182883171000000,3.921000000,fixed_trajectory,0.035156250,0,4,2089,2642,2606,2721,2074
8,2026-09-05T07:42:01.959631+00:00,182883234000000,3.984000000,fixed_trajectory,0.052734375,0,2;3;4,2089,2643,2605,2720,2074
9,2026-09-05T07:42:01.997309+00:00,182883265000000,4.015000000,fixed_trajectory,0.070312500,0,4,2089,2643,2605,2719,2074
10,2026-09-05T07:42:02.047829+00:00,182883328000000,4.078000000,fixed_trajectory,0.087890625,0,1;2;3;4,2088,2644,2604,2718,2074
11,2026-09-05T07:42:02.098573+00:00,182883375000000,4.125000000,fixed_trajectory,0.105468750,0,4,2088,2644,2604,2717,2074
12,2026-09-05T07:42:02.159309+00:00,182883437000000,4.187000000,fixed_trajectory,0.123046875,0,2;3;4,2088,2645,2603,2716,2074
13,2026-09-05T07:42:02.212935+00:00,182883484000000,4.234000000,fixed_trajectory,0.140625000,0,3;4,2088,2645,2602,2715,2074
14,2026-09-05T07:42:02.254102+00:00,182883531000000,4.281000000,fixed_trajectory,0.158203125,0,2;4,2088,2646,2602,2714,2074
15,2026-09-05T07:42:02.301729+00:00,182883578000000,4.328000000,fixed_trajectory,0.175781250,0,3;4,2088,2646,2601,2713,2074
16,2026-09-05T07:42:02.346090+00:00,182883625000000,4.375000000,fixed_trajectory,0.193359375,0,2;4,2088,2647,2601,2712,2074
17,2026-09-05T07:42:02.416137+00:00,182883687000000,4.437000000,fixed_trajectory,0.210937500,0,3;4,2088,2647,2600,2711,2074
18,2026-09-05T07:42:02.453736+00:00,182883734000000,4.484000000,fixed_trajectory,0.228515625,0,2;4,2088,2648,2600,2710,2074
19,2026-09-05T07:42:02.510097+00:00,182883781000000,4.531000000,fixed_trajectory,0.246093750,0,1;3;4,2087,2648,2599,2709,2074
20,2026-09-05T07:42:02.552435+00:00,182883828000000,4.578000000,fixed_trajectory,0.263671875,0,2;3;4,2087,2649,2598,2708,2074
21,2026-09-05T07:42:02.611067+00:00,182883890000000,4.640000000,fixed_trajectory,0.281250000,0,4,2087,2649,2598,2707,2074
22,2026-09-05T07:42:02.655875+00:00,182883937000000,4.687000000,fixed_trajectory,0.298828125,0,2;3;4,2087,2650,2597,2706,2074
23,2026-09-05T07:42:02.722004+00:00,182884000000000,4.750000000,fixed_trajectory,0.316406250,0,4,2087,2650,2597,2705,2074
24,2026-09-05T07:42:02.770223+00:00,182884046000000,4.796000000,fixed_trajectory,0.333984375,0,2;3;4,2087,2651,2596,2704,2074
25,2026-09-05T07:42:02.812125+00:00,182884093000000,4.843000000,fixed_trajectory,0.351562500,0,4,2087,2651,2596,2703,2074
26,2026-09-05T07:42:02.866195+00:00,182884140000000,4.890000000,fixed_trajectory,0.369140625,0,2;3;4,2087,2652,2595,2702,2074
27,2026-09-05T07:42:02.907597+00:00,182884187000000,4.937000000,fixed_trajectory,0.386718750,0,1;3;4,2086,2652,2594,2701,2074
28,2026-09-05T07:42:02.965468+00:00,182884234000000,4.984000000,fixed_trajectory,0.404296875,0,2;4,2086,2653,2594,2700,2074
29,2026-09-05T07:42:03.013953+00:00,182884281000000,5.031000000,fixed_trajectory,0.421875000,0,3;4,2086,2653,2593,2699,2074
30,2026-09-05T07:42:03.067676+00:00,182884343000000,5.093000000,fixed_trajectory,0.439453125,0,2;4,2086,2654,2593,2698,2074
31,2026-09-05T07:42:03.260316+00:00,182884531000000,5.281000000,fixed_trajectory,0.457031250,0,3;4,2086,2654,2592,2697,2074
32,2026-09-05T07:42:03.293639+00:00,182884562000000,5.312000000,fixed_trajectory,0.474609375,0,2;4,2086,2655,2592,2696,2074
33,2026-09-05T07:42:03.326767+00:00,182884609000000,5.359000000,fixed_trajectory,0.492187500,0,3;4,2086,2655,2591,2695,2074
34,2026-09-05T07:42:03.373606+00:00,182884656000000,5.406000000,fixed_trajectory,0.509765625,0,2;3;4,2086,2656,2590,2694,2074
35,2026-09-05T07:42:03.431524+00:00,182884703000000,5.453000000,fixed_trajectory,0.527343750,0,4,2086,2656,2590,2693,2074
36,2026-09-05T07:42:03.475835+00:00,182884750000000,5.500000000,fixed_trajectory,0.544921875,0,1;2;3;4,2085,2657,2589,2692,2074
37,2026-09-05T07:42:03.529000+00:00,182884796000000,5.546000000,fixed_trajectory,0.562500000,0,4,2085,2657,2589,2691,2074
38,2026-09-05T07:42:03.574870+00:00,182884843000000,5.593000000,fixed_trajectory,0.580078125,0,2;3;4,2085,2658,2588,2690,2074
39,2026-09-05T07:42:03.631084+00:00,182884906000000,5.656000000,fixed_trajectory,0.597656250,0,4,2085,2658,2588,2689,2074
40,2026-09-05T07:42:03.677189+00:00,182884953000000,5.703000000,fixed_trajectory,0.615234375,0,2;3;4,2085,2659,2587,2688,2074
41,2026-09-05T07:42:07.101990+00:00,182888375000000,9.125000000,fixed_trajectory,0.017578125,1,2;3;4,2085,2660,2586,2687,2074
42,2026-09-05T07:42:07.139589+00:00,182888421000000,9.171000000,fixed_trajectory,0.035156250,1,4,2085,2660,2586,2686,2074
43,2026-09-05T07:42:07.191548+00:00,182888468000000,9.218000000,fixed_trajectory,0.052734375,1,2;3;4,2085,2661,2585,2685,2074
44,2026-09-05T07:42:07.239704+00:00,182888515000000,9.265000000,fixed_trajectory,0.070312500,1,2;4,2085,2662,2585,2684,2074
45,2026-09-05T07:42:07.285716+00:00,182888562000000,9.312000000,fixed_trajectory,0.087890625,1,3;4,2085,2662,2584,2683,2074
46,2026-09-05T07:42:07.325555+00:00,182888593000000,9.343000000,fixed_trajectory,0.105468750,1,2;4,2085,2663,2584,2682,2074
47,2026-09-05T07:42:07.343384+00:00,182888625000000,9.375000000,fixed_trajectory,0.123046875,1,3;4,2085,2663,2583,2681,2074
48,2026-09-05T07:42:07.398884+00:00,182888671000000,9.421000000,fixed_trajectory,0.140625000,1,2;4,2085,2664,2583,2680,2074
49,2026-09-05T07:42:07.447628+00:00,182888718000000,9.468000000,fixed_trajectory,0.158203125,1,2;3;4,2085,2665,2582,2679,2074
50,2026-09-05T07:42:07.492274+00:00,182888765000000,9.515000000,fixed_trajectory,0.175781250,1,4,2085,2665,2582,2678,2074
