command_index,host_utc,dispatch_monotonic_ns,elapsed_s,phase,planned_phase_time_s,segment_index,changed_servo_ids,j1_target_raw,j2_target_raw,j3_target_raw,j4_target_raw,j5_target_raw
0,2026-09-05T04:29:56.519858+00:00,171357796000000,0.000000000,seed_hold,0.000000000,-1,1;2;3;4;5,2087,2639,2608,2723,2076
1,2026-09-05T04:30:00.840161+00:00,171362109000000,4.313000000,fixed_trajectory,0.017578125,0,2;3;4,2087,2640,2607,2722,2076
2,2026-09-05T04:30:00.873757+00:00,171362156000000,4.360000000,fixed_trajectory,0.035156250,0,4,2087,2640,2607,2721,2076
3,2026-09-05T04:30:00.932409+00:00,171362203000000,4.407000000,fixed_trajectory,0.052734375,0,2;3;4,2087,2641,2606,2720,2076
4,2026-09-05T04:30:00.972319+00:00,171362250000000,4.454000000,fixed_trajectory,0.070312500,0,4,2087,2641,2606,2719,2076
5,2026-09-05T04:30:01.020368+00:00,171362296000000,4.500000000,fixed_trajectory,0.087890625,0,1;2;3;4,2086,2642,2605,2718,2076
6,2026-09-05T04:30:01.065905+00:00,171362343000000,4.547000000,fixed_trajectory,0.105468750,0,4;5,2086,2642,2605,2717,2075
7,2026-09-05T04:30:01.125109+00:00,171362406000000,4.610000000,fixed_trajectory,0.123046875,0,2;3;4,2086,2643,2604,2716,2075
8,2026-09-05T04:30:01.186069+00:00,171362468000000,4.672000000,fixed_trajectory,0.140625000,0,2;4,2086,2644,2604,2715,2075
9,2026-09-05T04:30:01.232564+00:00,171362500000000,4.704000000,fixed_trajectory,0.158203125,0,3;4,2086,2644,2603,2714,2075
10,2026-09-05T04:30:01.350812+00:00,171362625000000,4.829000000,fixed_trajectory,0.175781250,0,2;4,2086,2645,2603,2713,2075
11,2026-09-05T04:30:01.395649+00:00,171362671000000,4.875000000,fixed_trajectory,0.193359375,0,3;4,2086,2645,2602,2712,2075
12,2026-09-05T04:30:01.437468+00:00,171362718000000,4.922000000,fixed_trajectory,0.210937500,0,2;4,2086,2646,2602,2711,2075
13,2026-09-05T04:30:01.490532+00:00,171362765000000,4.969000000,fixed_trajectory,0.228515625,0,3;4,2086,2646,2601,2710,2075
14,2026-09-05T04:30:01.533228+00:00,171362812000000,5.016000000,fixed_trajectory,0.246093750,0,2;4,2086,2647,2601,2709,2075
15,2026-09-05T04:30:01.588500+00:00,171362859000000,5.063000000,fixed_trajectory,0.263671875,0,1;2;3;4,2085,2648,2600,2708,2075
16,2026-09-05T04:30:01.646232+00:00,171362921000000,5.125000000,fixed_trajectory,0.281250000,0,4,2085,2648,2600,2707,2075
