camera,frame_index,grab_start_monotonic_ns,grab_end_monotonic_ns,capture_mid_monotonic_ns,host_utc,device_frame_id,device_timestamp,width,height
daheng_sn_FDE23080341,0,181116343000000,181116359000000,181116351000000,2026-09-05T07:12:35.128140+00:00,0,15464811501775,1920,1200
daheng_sn_FDE23080341,1,181116437000000,181116437000000,181116437000000,2026-09-05T07:12:35.183683+00:00,1,15464819186575,1920,1200
daheng_sn_FDE23080341,2,181116531000000,181116531000000,181116531000000,2026-09-05T07:12:35.275033+00:00,2,15464826871375,1920,1200
daheng_sn_FDE23080341,3,181116625000000,181116625000000,181116625000000,2026-09-05T07:12:35.365666+00:00,3,15464834556175,1920,1200
directshow_index_1,0,181116406000000,181116671000000,181116538500000,2026-09-05T07:12:35.405467+00:00,,,640,480
directshow_index_1,1,181116687000000,181116703000000,181116695000000,2026-09-05T07:12:35.435005+00:00,,,640,480
daheng_sn_FDE23080341,4,181116718000000,181116718000000,181116718000000,2026-09-05T07:12:35.461737+00:00,4,15464842240975,1920,1200
directshow_index_1,2,181116781000000,181116781000000,181116781000000,2026-09-05T07:12:35.505321+00:00,,,640,480
daheng_sn_FDE23080341,5,181116812000000,181116812000000,181116812000000,2026-09-05T07:12:35.579121+00:00,5,15464849925775,1920,1200
directshow_index_1,3,181116875000000,181116875000000,181116875000000,2026-09-05T07:12:35.599998+00:00,,,640,480
daheng_sn_FDE23080341,6,181116906000000,181116906000000,181116906000000,2026-09-05T07:12:35.666181+00:00,6,15464857610575,1920,1200
directshow_index_1,4,181116968000000,181116968000000,181116968000000,2026-09-05T07:12:35.692552+00:00,,,640,480
daheng_sn_FDE23080341,7,181117000000000,181117000000000,181117000000000,2026-09-05T07:12:35.755102+00:00,7,15464865295375,1920,1200
directshow_index_1,5,181117062000000,181117062000000,181117062000000,2026-09-05T07:12:35.785827+00:00,,,640,480
daheng_sn_FDE23080341,8,181117093000000,181117093000000,181117093000000,2026-09-05T07:12:35.853284+00:00,8,15464872980175,1920,1200
directshow_index_1,6,181117156000000,181117156000000,181117156000000,2026-09-05T07:12:35.877119+00:00,,,640,480
daheng_sn_FDE23080341,9,181117187000000,181117187000000,181117187000000,2026-09-05T07:12:35.945411+00:00,9,15464880664975,1920,1200
directshow_index_1,7,181117250000000,181117250000000,181117250000000,2026-09-05T07:12:35.975596+00:00,,,640,480
daheng_sn_FDE23080341,10,181117281000000,181117281000000,181117281000000,2026-09-05T07:12:36.038164+00:00,10,15464888349775,1920,1200
directshow_index_1,8,181117343000000,181117343000000,181117343000000,2026-09-05T07:12:36.070734+00:00,,,640,480
daheng_sn_FDE23080341,11,181117375000000,181117375000000,181117375000000,2026-09-05T07:12:36.133169+00:00,11,15464896034575,1920,1200
directshow_index_1,9,181117437000000,181117437000000,181117437000000,2026-09-05T07:12:36.157976+00:00,,,640,480
daheng_sn_FDE23080341,12,181117468000000,181117468000000,181117468000000,2026-09-05T07:12:36.223780+00:00,12,15464903719375,1920,1200
directshow_index_1,10,181117531000000,181117531000000,181117531000000,2026-09-05T07:12:36.262026+00:00,,,640,480
daheng_sn_FDE23080341,13,181117562000000,181117562000000,181117562000000,2026-09-05T07:12:36.314320+00:00,23,15464988252175,1920,1200
directshow_index_1,11,181117625000000,181117625000000,181117625000000,2026-09-05T07:12:36.350194+00:00,,,640,480
daheng_sn_FDE23080341,14,181117656000000,181117656000000,181117656000000,2026-09-05T07:12:36.410448+00:00,34,15465072784975,1920,1200
directshow_index_1,12,181117718000000,181117718000000,181117718000000,2026-09-05T07:12:36.442630+00:00,,,640,480
daheng_sn_FDE23080341,15,181117750000000,181117750000000,181117750000000,2026-09-05T07:12:36.503644+00:00,47,15465172687375,1920,1200
directshow_index_1,13,181117812000000,181117812000000,181117812000000,2026-09-05T07:12:36.537474+00:00,,,640,480
daheng_sn_FDE23080341,16,181117843000000,181117843000000,181117843000000,2026-09-05T07:12:36.600063+00:00,60,15465272589775,1920,1200
directshow_index_1,14,181117906000000,181117906000000,181117906000000,2026-09-05T07:12:36.633241+00:00,,,640,480
daheng_sn_FDE23080341,17,181117937000000,181117937000000,181117937000000,2026-09-05T07:12:36.691777+00:00,72,15465364807375,1920,1200
directshow_index_1,15,181118000000000,181118000000000,181118000000000,2026-09-05T07:12:36.722141+00:00,,,640,480
daheng_sn_FDE23080341,18,181118031000000,181118031000000,181118031000000,2026-09-05T07:12:36.787951+00:00,84,15465457024975,1920,1200
directshow_index_1,16,181118093000000,181118093000000,181118093000000,2026-09-05T07:12:36.817821+00:00,,,640,480
daheng_sn_FDE23080341,19,181118125000000,181118125000000,181118125000000,2026-09-05T07:12:36.886794+00:00,96,15465549242575,1920,1200
directshow_index_1,17,181118187000000,181118187000000,181118187000000,2026-09-05T07:12:36.911890+00:00,,,640,480
daheng_sn_FDE23080341,20,181118218000000,181118218000000,181118218000000,2026-09-05T07:12:36.988012+00:00,109,15465649144975,1920,1200
directshow_index_1,18,181118281000000,181118281000000,181118281000000,2026-09-05T07:12:37.008527+00:00,,,640,480
daheng_sn_FDE23080341,21,181118312000000,181118312000000,181118312000000,2026-09-05T07:12:37.069473+00:00,121,15465741362575,1920,1200
directshow_index_1,19,181118375000000,181118375000000,181118375000000,2026-09-05T07:12:37.098987+00:00,,,640,480
daheng_sn_FDE23080341,22,181118406000000,181118406000000,181118406000000,2026-09-05T07:12:37.167693+00:00,133,15465833580175,1920,1200
directshow_index_1,20,181118468000000,181118468000000,181118468000000,2026-09-05T07:12:37.192256+00:00,,,640,480
daheng_sn_FDE23080341,23,181118500000000,181118500000000,181118500000000,2026-09-05T07:12:37.259687+00:00,145,15465925797775,1920,1200
directshow_index_1,21,181118562000000,181118562000000,181118562000000,2026-09-05T07:12:37.286673+00:00,,,640,480
daheng_sn_FDE23080341,24,181118593000000,181118593000000,181118593000000,2026-09-05T07:12:37.348908+00:00,157,15466018015375,1920,1200
directshow_index_1,22,181118656000000,181118656000000,181118656000000,2026-09-05T07:12:37.380419+00:00,,,640,480
daheng_sn_FDE23080341,25,181118687000000,181118687000000,181118687000000,2026-09-05T07:12:37.447436+00:00,169,15466110232975,1920,1200
directshow_index_1,23,181118750000000,181118750000000,181118750000000,2026-09-05T07:12:37.471895+00:00,,,640,480
daheng_sn_FDE23080341,26,181118781000000,181118781000000,181118781000000,2026-09-05T07:12:37.544825+00:00,181,15466202450575,1920,1200
directshow_index_1,24,181118843000000,181118843000000,181118843000000,2026-09-05T07:12:37.566824+00:00,,,640,480
daheng_sn_FDE23080341,27,181118875000000,181118875000000,181118875000000,2026-09-05T07:12:37.626627+00:00,194,15466302352975,1920,1200
directshow_index_1,25,181118937000000,181118937000000,181118937000000,2026-09-05T07:12:37.662622+00:00,,,640,480
daheng_sn_FDE23080341,28,181118968000000,181118968000000,181118968000000,2026-09-05T07:12:37.727865+00:00,206,15466394570575,1920,1200
