sample_index,host_utc,read_start_monotonic_ns,read_end_monotonic_ns,elapsed_s,phase,segment_index,read_retry_count,j1_position_raw,j1_target_raw,j1_position_rad,j1_target_rad,j1_voltage_raw,j1_voltage_v,j1_temperature_c,j1_current_raw,j2_position_raw,j2_target_raw,j2_position_rad,j2_target_rad,j2_voltage_raw,j2_voltage_v,j2_temperature_c,j2_current_raw,j3_position_raw,j3_target_raw,j3_position_rad,j3_target_rad,j3_voltage_raw,j3_voltage_v,j3_temperature_c,j3_current_raw,j4_position_raw,j4_target_raw,j4_position_rad,j4_target_rad,j4_voltage_raw,j4_voltage_v,j4_temperature_c,j4_current_raw,j5_position_raw,j5_target_raw,j5_position_rad,j5_target_rad,j5_voltage_raw,j5_voltage_v,j5_temperature_c,j5_current_raw
0,2026-09-05T07:12:36.483446+00:00,181117718000000,181117765000000,0.062000000,start_alignment,-1,0,2089,2089,0.101242732000,0.101242732000,76,7.6,27,0,2637,2637,0.875903029883,0.875903029883,75,7.5,26,3,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2726,0.997087512126,0.997087512126,75,7.5,27,0,2078,2078,0.018407769455,0.018407769455,75,7.5,26,0
1,2026-09-05T07:12:36.541385+00:00,181117781000000,181117812000000,0.109000000,start_alignment,-1,0,2089,2088,0.101242732000,0.099708751213,76,7.6,27,0,2637,2638,0.875903029883,0.877437010671,75,7.5,26,2,2607,2607,0.842155452549,0.842155452549,76,7.6,27,0,2726,2725,0.997087512126,0.995553531338,75,7.5,27,0,2078,2077,0.018407769455,0.016873788667,75,7.5,26,1
2,2026-09-05T07:12:36.597253+00:00,181117828000000,181117875000000,0.172000000,start_alignment,-1,0,2089,2088,0.101242732000,0.099708751213,76,7.6,27,0,2637,2638,0.875903029883,0.877437010671,75,7.5,26,2,2607,2608,0.842155452549,0.843689433337,76,7.6,27,0,2726,2724,0.997087512126,0.994019550550,75,7.5,27,1,2078,2077,0.018407769455,0.016873788667,76,7.6,26,0
3,2026-09-05T07:12:36.820126+00:00,181118046000000,181118093000000,0.390000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,0,2638,2639,0.877437010671,0.878970991458,75,7.5,26,0,2607,2608,0.842155452549,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,1,2078,2076,0.018407769455,0.015339807879,75,7.5,26,1
4,2026-09-05T07:12:36.874800+00:00,181118109000000,181118156000000,0.453000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,0,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2607,2608,0.842155452549,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,1,2078,2076,0.018407769455,0.015339807879,76,7.6,26,0
5,2026-09-05T07:12:36.936014+00:00,181118171000000,181118218000000,0.515000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,0,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2607,2608,0.842155452549,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,75,7.5,26,0
6,2026-09-05T07:12:36.996011+00:00,181118234000000,181118265000000,0.562000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2607,2608,0.842155452549,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,1,2078,2076,0.018407769455,0.015339807879,76,7.6,26,1
7,2026-09-05T07:12:37.053538+00:00,181118281000000,181118328000000,0.625000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,0,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2607,2608,0.842155452549,0.843689433337,76,7.6,27,1,2726,2723,0.997087512126,0.992485569762,75,7.5,27,1,2078,2076,0.018407769455,0.015339807879,76,7.6,26,0
8,2026-09-05T07:12:37.100987+00:00,181118343000000,181118375000000,0.672000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2607,2608,0.842155452549,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,75,7.5,26,1
9,2026-09-05T07:12:37.158891+00:00,181118390000000,181118437000000,0.734000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,1,2726,2723,0.997087512126,0.992485569762,75,7.5,28,1,2078,2076,0.018407769455,0.015339807879,75,7.5,26,1
10,2026-09-05T07:12:37.213989+00:00,181118453000000,181118484000000,0.781000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,0,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,75,7.5,26,1
11,2026-09-05T07:12:37.267698+00:00,181118500000000,181118546000000,0.843000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,1,2078,2076,0.018407769455,0.015339807879,75,7.5,26,0
12,2026-09-05T07:12:37.336585+00:00,181118562000000,181118609000000,0.906000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,75,7.5,26,0
13,2026-09-05T07:12:37.385430+00:00,181118625000000,181118656000000,0.953000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,1,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,75,7.5,26,1
14,2026-09-05T07:12:37.441873+00:00,181118671000000,181118718000000,1.015000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,0,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,75,7.5,26,0
15,2026-09-05T07:12:37.494917+00:00,181118734000000,181118765000000,1.062000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,0,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,1,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,75,7.5,26,0
16,2026-09-05T07:12:37.556076+00:00,181118781000000,181118828000000,1.125000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,1,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,76,7.6,26,1
17,2026-09-05T07:12:37.611244+00:00,181118843000000,181118890000000,1.187000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,1,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,76,7.6,26,1
18,2026-09-05T07:12:37.670548+00:00,181118906000000,181118953000000,1.250000000,online_inference,0,0,2089,2087,0.101242732000,0.098174770425,76,7.6,27,1,2639,2639,0.878970991458,0.878970991458,75,7.5,26,0,2606,2608,0.840621471761,0.843689433337,76,7.6,27,0,2726,2723,0.997087512126,0.992485569762,75,7.5,27,0,2078,2076,0.018407769455,0.015339807879,76,7.6,26,1
