pair_id,condition,method,position_id,trial_order,aborted,max_lock_error_rad,reached,contact,endpoint_error_m,success,camera_left_video,camera_horizontal_video,control_log,failure_code
P001,intact,global_matched,A,1,0,,,,,,,,,
P001,intact,nominal,A,2,0,,,,,,,,,
P018,D3,nominal,C,3,0,,,,,,,,,
P018,D3,global_matched,C,4,0,,,,,,,,,
P012,D2,global_matched,A,5,0,,,,,,,,,
P012,D2,nominal,A,6,0,,,,,,,,,
P023,D3,nominal,B,7,0,,,,,,,,,
P023,D3,global_matched,B,8,0,,,,,,,,,
P021,D3,global_matched,C,9,0,,,,,,,,,
P021,D3,nominal,C,10,0,,,,,,,,,
P008,D2,global_matched,C,11,0,,,,,,,,,
P008,D2,nominal,C,12,0,,,,,,,,,
P014,D2,global_matched,C,13,0,,,,,,,,,
P014,D2,nominal,C,14,0,,,,,,,,,
P003,intact,global_matched,C,15,0,,,,,,,,,
P003,intact,nominal,C,16,0,,,,,,,,,
P017,D3,nominal,B,17,0,,,,,,,,,
P017,D3,global_matched,B,18,0,,,,,,,,,
P024,D3,nominal,C,19,0,,,,,,,,,
P024,D3,global_matched,C,20,0,,,,,,,,,
P011,D2,nominal,C,21,0,,,,,,,,,
P011,D2,global_matched,C,22,0,,,,,,,,,
P005,intact,global_matched,B,23,0,,,,,,,,,
P005,intact,nominal,B,24,0,,,,,,,,,
P009,D2,global_matched,A,25,0,,,,,,,,,
P009,D2,nominal,A,26,0,,,,,,,,,
P025,D3,global_matched,A,27,0,,,,,,,,,
P025,D3,nominal,A,28,0,,,,,,,,,
P020,D3,global_matched,B,29,0,,,,,,,,,
P020,D3,nominal,B,30,0,,,,,,,,,
P022,D3,global_matched,A,31,0,,,,,,,,,
P022,D3,nominal,A,32,0,,,,,,,,,
P006,D2,nominal,A,33,0,,,,,,,,,
P006,D2,global_matched,A,34,0,,,,,,,,,
P007,D2,global_matched,B,35,0,,,,,,,,,
P007,D2,nominal,B,36,0,,,,,,,,,
P019,D3,nominal,A,37,0,,,,,,,,,
P019,D3,global_matched,A,38,0,,,,,,,,,
P013,D2,nominal,B,39,0,,,,,,,,,
P013,D2,global_matched,B,40,0,,,,,,,,,
P010,D2,nominal,B,41,0,,,,,,,,,
P010,D2,global_matched,B,42,0,,,,,,,,,
P002,intact,nominal,B,43,0,,,,,,,,,
P002,intact,global_matched,B,44,0,,,,,,,,,
P004,intact,nominal,A,45,0,,,,,,,,,
P004,intact,global_matched,A,46,0,,,,,,,,,
P016,D3,global_matched,A,47,0,,,,,,,,,
P016,D3,nominal,A,48,0,,,,,,,,,
P015,D2,nominal,A,49,0,,,,,,,,,
P015,D2,global_matched,A,50,0,,,,,,,,,
