trajectory_id,condition,waypoint_index,time_s,j1_raw,j2_raw,j3_raw,j4_raw,j5_raw,j1,j2,j3,j4,j5,provenance
pilot_intact_fk30mm_v1,intact,0,0,2013,2637,2616,2734,2075,-0.015339807879,0.875903029883,0.855961279640,1.009359358429,0.013805827091,unvalidated_calibrated_fk_candidate
pilot_intact_fk30mm_v1,intact,1,2,2014,2655,2600,2700,2073,-0.013805827091,0.903514684065,0.831417587034,0.957204011641,0.010737865515,unvalidated_calibrated_fk_candidate
pilot_intact_fk30mm_v1,intact,2,4,2014,2674,2582,2665,2070,-0.013805827091,0.932660319034,0.803805932852,0.903514684065,0.006135923152,unvalidated_calibrated_fk_candidate
pilot_intact_fk30mm_v1,intact,3,6,2015,2695,2565,2629,2068,-0.012271846303,0.964873915580,0.777728259458,0.848291375701,0.003067961576,unvalidated_calibrated_fk_candidate
pilot_D2_fk30mm_v1,D2,0,0,2013,2637,2616,2734,2075,-0.015339807879,0.875903029883,0.855961279640,1.009359358429,0.013805827091,unvalidated_calibrated_fk_candidate
pilot_D2_fk30mm_v1,D2,1,2,2014,2637,2635,2673,2071,-0.013805827091,0.875903029883,0.885106914610,0.915786530368,0.007669903939,unvalidated_calibrated_fk_candidate
pilot_D2_fk30mm_v1,D2,2,4,2014,2637,2659,2604,2067,-0.013805827091,0.875903029883,0.921922453519,0.809941856004,0.001533980788,unvalidated_calibrated_fk_candidate
pilot_D2_fk30mm_v1,D2,3,6,2015,2637,2691,2524,2062,-0.012271846303,0.875903029883,0.971009838732,0.687223392973,-0.006135923152,unvalidated_calibrated_fk_candidate
pilot_D3_fk30mm_v1,D3,0,0,2013,2637,2616,2734,2075,-0.015339807879,0.875903029883,0.855961279640,1.009359358429,0.013805827091,unvalidated_calibrated_fk_candidate
pilot_D3_fk30mm_v1,D3,1,2,2014,2647,2616,2688,2072,-0.013805827091,0.891242837762,0.855961279640,0.938796242186,0.009203884727,unvalidated_calibrated_fk_candidate
pilot_D3_fk30mm_v1,D3,2,4,2014,2658,2616,2639,2068,-0.013805827091,0.908116626428,0.855961279640,0.863631183580,0.003067961576,unvalidated_calibrated_fk_candidate
pilot_D3_fk30mm_v1,D3,3,6,2015,2671,2616,2588,2064,-0.012271846303,0.928058376671,0.855961279640,0.785398163397,-0.003067961576,unvalidated_calibrated_fk_candidate
