elapsed_s,cycle,locked_joint,phase,locked_deg,drift_deg,max_temp_c
4.0,1,J2,loaded_hold,0.88,0.18,35
13.1,2,J3,loaded_hold,0.18,0.62,35
22.2,3,J4,loaded_hold,-0.70,0.26,35
31.2,4,J2,loaded_hold,0.44,0.53,35
40.3,5,J3,loaded_hold,-0.09,0.09,35
49.3,6,J4,loaded_hold,-1.05,0.35,35
58.4,7,J2,loaded_hold,0.00,0.18,35
67.5,8,J3,loaded_hold,0.70,0.53,35
76.5,9,J4,loaded_hold,-0.70,0.26,35
85.6,10,J2,loaded_hold,0.79,0.53,35
94.7,11,J3,loaded_hold,0.00,0.70,35
103.8,12,J4,loaded_hold,-1.05,0.35,35
112.8,13,J2,loaded_hold,-0.09,0.09,35
121.9,14,J3,loaded_hold,0.18,0.53,35
131.0,15,J4,loaded_hold,-0.70,0.35,35
140.0,16,J2,loaded_hold,0.79,0.44,35
149.1,17,J3,loaded_hold,-0.18,0.18,35
158.1,18,J4,loaded_hold,-1.05,0.35,35
167.2,19,J2,loaded_hold,-0.35,0.70,35
176.3,20,J3,loaded_hold,0.18,0.53,35
185.3,21,J4,loaded_hold,-0.70,0.26,35
194.4,22,J2,loaded_hold,1.32,0.53,35
203.5,23,J3,loaded_hold,-0.18,0.18,35
212.5,24,J4,loaded_hold,-1.05,0.35,35
221.6,25,J2,loaded_hold,-0.26,0.79,35
230.7,26,J3,loaded_hold,0.18,0.53,35
239.8,27,J4,loaded_hold,-0.70,0.26,35
