elapsed_s,cycle,locked_joint,phase,locked_deg,drift_deg,max_temp_c
4.0,1,J2,loaded_hold,-0.35,0.09,35
13.1,2,J3,loaded_hold,0.09,0.44,35
22.1,3,J4,loaded_hold,-0.70,0.44,35
31.2,4,J2,loaded_hold,0.26,0.70,35
40.3,5,J3,loaded_hold,-0.09,0.09,35
49.3,6,J4,loaded_hold,-1.05,0.35,35
58.4,7,J2,loaded_hold,-0.09,0.09,35
67.5,8,J3,loaded_hold,0.70,0.53,35
76.5,9,J4,loaded_hold,-0.70,0.18,35
85.6,10,J2,loaded_hold,0.79,0.53,35
94.7,11,J3,loaded_hold,-0.18,0.18,35
103.7,12,J4,loaded_hold,-1.05,0.35,35
112.8,13,J2,loaded_hold,-0.09,0.09,35
121.9,14,J3,loaded_hold,0.18,0.53,35
130.9,15,J4,loaded_hold,-0.70,0.26,35
140.0,16,J2,loaded_hold,0.62,1.14,35
149.1,17,J3,loaded_hold,-0.09,0.09,35
158.1,18,J4,loaded_hold,-1.05,0.35,35
167.2,19,J2,loaded_hold,-0.18,1.23,35
176.2,20,J3,loaded_hold,0.09,0.44,35
185.3,21,J4,loaded_hold,-0.70,0.26,35
194.4,22,J2,loaded_hold,0.26,3.08,35
