joint,phase,elapsed_ms,goal_raw,present_raw,error_deg,temp_c,current_raw
J2,out,247.0,2180,2022,13.887,29,1
J2,out,298.8,2180,2022,13.887,29,1
J2,out,350.4,2180,2021,13.975,29,1
J2,out,403.1,2180,2021,13.975,29,1
J2,out,455.8,2180,2021,13.975,29,1
J2,out,508.3,2180,2021,13.975,29,2
J2,out,560.0,2180,2024,13.711,29,0
J2,out,612.4,2180,2027,13.447,29,1
J2,out,664.3,2180,2029,13.271,29,1
J2,out,717.1,2180,2034,12.832,29,1
J2,out,769.9,2180,2040,12.305,29,1
J2,out,821.8,2180,2044,11.953,29,1
J2,out,873.5,2180,2049,11.514,29,0
J2,out,925.4,2180,2054,11.074,29,0
J2,out,977.5,2180,2059,10.635,29,1
J2,out,1030.4,2180,2064,10.195,29,1
J2,out,1083.1,2180,2068,9.844,29,0
J2,out,1134.9,2180,2072,9.492,29,0
J2,out,1187.5,2180,2076,9.141,29,1
J2,out,1239.3,2180,2079,8.877,29,0
J2,out,1291.8,2180,2081,8.701,29,0
J2,out,1343.9,2180,2085,8.35,29,0
J2,out,1395.7,2180,2086,8.262,29,0
J2,out,1448.7,2180,2087,8.174,29,1
J2,out,1501.6,2180,2090,7.91,29,1
J2,out,1553.6,2180,2093,7.646,29,0
J2,out,1605.8,2180,2096,7.383,29,1
J2,out,1657.9,2180,2097,7.295,29,1
J2,out,1709.8,2180,2098,7.207,29,0
J2,out,1762.5,2180,2102,6.855,29,0
J2,out,1814.4,2180,2105,6.592,29,0
J2,out,1865.8,2180,2109,6.24,29,0
J2,out,1917.5,2180,2113,5.889,29,1
J2,out,1969.4,2180,2115,5.713,29,0
J2,out,2021.2,2180,2118,5.449,29,0
J2,out,2072.9,2180,2120,5.273,29,0
J2,out,2124.4,2180,2120,5.273,29,1
J2,out,2176.3,2180,2121,5.186,29,1
J2,out,2227.9,2180,2123,5.01,29,1
J2,out,2280.8,2180,2128,4.57,29,0
J2,out,2333.8,2180,2132,4.219,29,1
J2,out,2386.4,2180,2135,3.955,29,1
J2,out,2438.1,2180,2140,3.516,29,1
J2,out,2490.8,2180,2141,3.428,29,1
J2,out,2543.7,2180,2142,3.34,29,1
J2,out,2596.3,2180,2146,2.988,29,1
J2,out,2648.3,2180,2150,2.637,29,0
J2,out,2700.1,2180,2153,2.373,29,1
J2,out,2751.5,2180,2156,2.109,29,0
J2,out,2803.1,2180,2159,1.846,29,1
J2,out,2855.3,2180,2160,1.758,29,1
J2,out,2907.7,2180,2162,1.582,29,0
J2,out,2960.5,2180,2164,1.406,29,1
J2,return,1.2,2066,2168,-8.965,29,1
J2,return,53.2,2066,2170,-9.141,29,0
J2,return,105.8,2066,2170,-9.141,29,0
J2,return,158.3,2066,2170,-9.141,29,1
J2,return,211.1,2066,2169,-9.053,29,0
J2,return,263.7,2066,2169,-9.053,29,1
J2,return,315.9,2066,2169,-9.053,29,1
J2,return,367.7,2066,2170,-9.141,29,1
J2,return,419.5,2066,2170,-9.141,29,2
J2,return,471.2,2066,2170,-9.141,29,1
J2,return,524.3,2066,2170,-9.141,29,2
J2,return,576.4,2066,2170,-9.141,29,1
J2,return,628.2,2066,2170,-9.141,29,2
J2,return,679.9,2066,2170,-9.141,29,2
J2,return,731.9,2066,2170,-9.141,29,2
J2,return,785.2,2066,2170,-9.141,29,3
J2,return,837.9,2066,2170,-9.141,29,3
J2,return,889.5,2066,2170,-9.141,29,4
J2,return,941.7,2066,2170,-9.141,29,4
J2,return,993.3,2066,2170,-9.141,29,4
J2,return,1045.2,2066,2170,-9.141,30,4
J2,return,1096.8,2066,2170,-9.141,29,4
J2,return,1148.8,2066,2170,-9.141,29,5
J2,return,1200.6,2066,2168,-8.965,29,3
J2,return,1252.6,2066,2165,-8.701,29,4
J2,return,1304.1,2066,2161,-8.35,30,3
J2,return,1356.1,2066,2155,-7.822,29,3
J2,return,1408.5,2066,2150,-7.383,29,3
J2,return,1460.3,2066,2145,-6.943,29,2
J2,return,1512.4,2066,2140,-6.504,29,2
J2,return,1564.0,2066,2135,-6.064,29,3
J2,return,1616.0,2066,2131,-5.713,30,1
J2,return,1668.5,2066,2126,-5.273,29,2
J2,return,1720.2,2066,2122,-4.922,29,1
J2,return,1771.4,2066,2118,-4.57,29,2
J2,return,1823.3,2066,2113,-4.131,29,1
J2,return,1875.2,2066,2109,-3.779,29,2
J2,return,1927.4,2066,2105,-3.428,29,1
J2,return,1980.4,2066,2101,-3.076,29,1
J2,return,2033.0,2066,2097,-2.725,29,1
J2,return,2085.1,2066,2092,-2.285,29,2
J2,return,2137.1,2066,2089,-2.021,29,1
J2,return,2188.8,2066,2085,-1.67,30,0
J2,return,2241.1,2066,2082,-1.406,29,1
J2,return,2293.5,2066,2081,-1.318,29,1
J2,return,2345.5,2066,2080,-1.23,29,1
J2,return,2397.5,2066,2080,-1.23,29,1
J2,return,2449.2,2066,2080,-1.23,29,2
J2,return,2501.9,2066,2080,-1.23,29,1
J2,return,2554.1,2066,2080,-1.23,29,1
J2,return,2606.4,2066,2080,-1.23,29,1
J2,return,2658.1,2066,2080,-1.23,29,1
J2,return,2709.8,2066,2080,-1.23,29,1
J2,return,2761.5,2066,2080,-1.23,29,1
J2,return,2812.9,2066,2080,-1.23,29,0
J2,return,2864.6,2066,2080,-1.23,29,1
J2,return,2916.5,2066,2080,-1.23,29,1
J2,return,2969.3,2066,2080,-1.23,29,1
J3,out,245.7,2172,2067,9.229,32,0
J3,out,298.1,2172,2067,9.229,32,1
J3,out,349.7,2172,2067,9.229,31,1
J3,out,401.8,2172,2067,9.229,31,1
J3,out,454.3,2172,2067,9.229,31,1
J3,out,506.3,2172,2067,9.229,31,2
J3,out,558.1,2172,2067,9.229,31,1
J3,out,610.0,2172,2071,8.877,31,0
J3,out,661.4,2172,2077,8.35,31,0
J3,out,712.7,2172,2081,7.998,31,1
J3,out,765.1,2172,2086,7.559,31,1
J3,out,817.5,2172,2091,7.119,31,1
J3,out,869.1,2172,2095,6.768,31,1
J3,out,921.4,2172,2099,6.416,31,1
J3,out,972.8,2172,2102,6.152,32,0
J3,out,1024.5,2172,2102,6.152,32,0
J3,out,1076.3,2172,2102,6.152,31,1
J3,out,1128.4,2172,2103,6.064,31,0
J3,out,1180.6,2172,2103,6.064,31,1
J3,out,1232.5,2172,2103,6.064,31,1
J3,out,1284.3,2172,2107,5.713,31,0
J3,out,1336.3,2172,2112,5.273,31,0
J3,out,1388.5,2172,2117,4.834,31,1
J3,out,1440.4,2172,2122,4.395,31,0
J3,out,1492.2,2172,2126,4.043,32,0
J3,out,1544.3,2172,2130,3.691,32,0
J3,out,1595.9,2172,2132,3.516,32,0
J3,out,1647.6,2172,2132,3.516,32,1
J3,out,1699.0,2172,2132,3.516,31,1
J3,out,1750.8,2172,2137,3.076,31,0
J3,out,1803.5,2172,2141,2.725,32,0
J3,out,1855.3,2172,2146,2.285,31,1
J3,out,1907.0,2172,2148,2.109,31,0
J3,out,1958.5,2172,2150,1.934,31,0
J3,out,2010.9,2172,2153,1.67,32,1
J3,out,2062.5,2172,2156,1.406,31,0
J3,out,2114.2,2172,2157,1.318,31,0
J3,out,2166.3,2172,2162,0.879,31,0
J3,out,2218.1,2172,2164,0.703,31,1
J3,out,2270.4,2172,2166,0.527,31,1
J3,out,2322.8,2172,2166,0.527,32,1
J3,out,2374.7,2172,2168,0.352,32,0
J3,out,2426.6,2172,2168,0.352,31,1
J3,out,2478.3,2172,2168,0.352,31,1
J3,out,2530.4,2172,2168,0.352,31,1
J3,out,2582.9,2172,2168,0.352,31,0
J3,out,2634.2,2172,2168,0.352,31,0
J3,out,2686.2,2172,2168,0.352,31,1
J3,out,2737.7,2172,2168,0.352,32,0
J3,out,2789.4,2172,2168,0.352,31,1
J3,out,2841.4,2172,2168,0.352,31,1
J3,out,2893.0,2172,2168,0.352,31,1
J3,out,2944.6,2172,2168,0.352,31,0
J3,out,2996.1,2172,2168,0.352,31,1
J3,return,1.1,2058,2168,-9.668,31,0
J3,return,53.6,2058,2168,-9.668,32,0
J3,return,105.4,2058,2168,-9.668,31,1
J3,return,156.8,2058,2168,-9.668,31,0
J3,return,208.4,2058,2168,-9.668,31,1
J3,return,259.7,2058,2168,-9.668,31,1
J3,return,311.8,2058,2168,-9.668,31,1
J3,return,363.8,2058,2168,-9.668,31,2
J3,return,416.1,2058,2168,-9.668,31,1
J3,return,468.0,2058,2168,-9.668,32,1
J3,return,520.5,2058,2168,-9.668,31,2
J3,return,572.6,2058,2168,-9.668,31,2
J3,return,624.8,2058,2168,-9.668,31,3
J3,return,676.4,2058,2168,-9.668,31,2
J3,return,727.8,2058,2168,-9.668,32,3
J3,return,780.3,2058,2168,-9.668,31,3
J3,return,832.6,2058,2168,-9.668,32,3
J3,return,884.3,2058,2167,-9.58,31,3
J3,return,936.7,2058,2163,-9.229,31,1
J3,return,989.0,2058,2159,-8.877,31,2
J3,return,1040.9,2058,2154,-8.438,31,2
J3,return,1093.7,2058,2149,-7.998,31,2
J3,return,1145.3,2058,2145,-7.646,31,1
J3,return,1197.3,2058,2141,-7.295,31,1
J3,return,1249.3,2058,2137,-6.943,31,1
J3,return,1301.7,2058,2133,-6.592,31,2
J3,return,1354.0,2058,2130,-6.328,31,2
J3,return,1405.9,2058,2126,-5.977,31,1
J3,return,1458.4,2058,2123,-5.713,31,2
J3,return,1510.4,2058,2120,-5.449,32,1
J3,return,1561.9,2058,2117,-5.186,31,1
J3,return,1614.0,2058,2114,-4.922,31,1
J3,return,1665.6,2058,2110,-4.57,32,1
J3,return,1717.5,2058,2107,-4.307,31,1
J3,return,1769.5,2058,2104,-4.043,31,0
J3,return,1821.6,2058,2101,-3.779,31,2
J3,return,1873.1,2058,2098,-3.516,31,1
J3,return,1925.1,2058,2095,-3.252,31,1
J3,return,1976.9,2058,2092,-2.988,32,0
J3,return,2029.8,2058,2088,-2.637,32,1
J3,return,2082.2,2058,2085,-2.373,32,1
J3,return,2134.4,2058,2082,-2.109,31,1
J3,return,2186.2,2058,2079,-1.846,31,1
J3,return,2237.8,2058,2076,-1.582,32,1
J3,return,2290.1,2058,2073,-1.318,32,0
J3,return,2342.2,2058,2071,-1.143,31,1
J3,return,2394.1,2058,2069,-0.967,31,1
J3,return,2446.2,2058,2067,-0.791,31,1
J3,return,2498.4,2058,2067,-0.791,31,0
J3,return,2550.8,2058,2067,-0.791,32,1
J3,return,2603.5,2058,2067,-0.791,31,1
J3,return,2656.4,2058,2067,-0.791,31,1
J3,return,2709.2,2058,2067,-0.791,31,1
J3,return,2761.2,2058,2067,-0.791,32,1
J3,return,2813.5,2058,2067,-0.791,32,0
J3,return,2865.5,2058,2067,-0.791,31,1
J3,return,2917.3,2058,2067,-0.791,32,1
J3,return,2968.8,2058,2067,-0.791,31,1
J4,out,246.2,2190,2082,9.492,31,0
J4,out,298.5,2190,2082,9.492,31,1
J4,out,351.3,2190,2082,9.492,31,1
J4,out,403.7,2190,2082,9.492,31,0
J4,out,455.5,2190,2083,9.404,31,0
J4,out,508.2,2190,2088,8.965,31,0
J4,out,560.1,2190,2093,8.525,31,1
J4,out,612.3,2190,2097,8.174,31,0
J4,out,664.1,2190,2101,7.822,31,0
J4,out,716.0,2190,2105,7.471,31,0
J4,out,768.4,2190,2108,7.207,31,0
