"seed","domain","model","shots","success_rate","mean_final_distance","mean_steps","episodes"
"7","D2__mixed_composition","topology_only","0","0.0","0.335493354846464","400.0","1"
"7","D2__mixed_composition","dfwm","0","0.0","0.09652117976982397","400.0","1"
"7","D2__mixed_composition","dfwm","1","1.0","0.049939621543168444","381.0","1"
"7","D2__mixed_composition","dfwm","2","0.0","0.06581017165604874","400.0","1"
"7","D2__mixed_composition","dfwm","5","0.0","0.07672489151311354","400.0","1"
"7","D3__mixed_composition","topology_only","0","0.0","0.27578168288828253","400.0","1"
"7","D3__mixed_composition","dfwm","0","1.0","0.04994047893539071","318.0","1"
"7","D3__mixed_composition","dfwm","1","1.0","0.04921863838608063","295.0","1"
"7","D3__mixed_composition","dfwm","2","1.0","0.04873367911820753","273.0","1"
"7","D3__mixed_composition","dfwm","5","1.0","0.04756631481288449","275.0","1"
"17","D2__mixed_composition","topology_only","0","0.0","0.37795755072744475","400.0","1"
"17","D2__mixed_composition","dfwm","0","0.0","0.350097820096926","400.0","1"
"17","D2__mixed_composition","dfwm","1","0.0","0.354099838268408","400.0","1"
"17","D2__mixed_composition","dfwm","2","0.0","0.36266678522775886","400.0","1"
"17","D2__mixed_composition","dfwm","5","0.0","0.3606129812748662","400.0","1"
"17","D3__mixed_composition","topology_only","0","0.0","0.5908787376014849","400.0","1"
"17","D3__mixed_composition","dfwm","0","0.0","0.3226922656771953","400.0","1"
"17","D3__mixed_composition","dfwm","1","0.0","0.466265859555134","400.0","1"
"17","D3__mixed_composition","dfwm","2","0.0","0.45077237551489063","400.0","1"
"17","D3__mixed_composition","dfwm","5","0.0","0.47769061707929505","400.0","1"
"27","D2__mixed_composition","topology_only","0","0.0","0.22955411859791905","400.0","1"
"27","D2__mixed_composition","dfwm","0","0.0","0.5507829588816725","400.0","1"
"27","D2__mixed_composition","dfwm","1","0.0","0.5763038560413981","400.0","1"
"27","D2__mixed_composition","dfwm","2","0.0","0.5589675528568798","400.0","1"
"27","D2__mixed_composition","dfwm","5","0.0","0.5808078403340717","400.0","1"
"27","D3__mixed_composition","topology_only","0","0.0","0.30920959879981985","400.0","1"
"27","D3__mixed_composition","dfwm","0","0.0","0.5975998302332364","400.0","1"
"27","D3__mixed_composition","dfwm","1","0.0","0.5803214816766961","400.0","1"
"27","D3__mixed_composition","dfwm","2","0.0","0.5982953760955075","400.0","1"
"27","D3__mixed_composition","dfwm","5","0.0","0.5889273212938594","400.0","1"
