seed,domain,target,shots,success,steps,final_distance_m,ik_error_m
7,D2__mixed_composition,eval_00,0,1,73,0.04981963807248681,0.03122299013575141
7,D2__mixed_composition,eval_01,0,1,67,0.04809151383133813,0.0006167536027785214
7,D2__mixed_composition,eval_02,0,1,82,0.04950126140579326,0.020567889338314396
7,D2__mixed_composition,eval_03,0,1,45,0.048594065055580137,0.000521254866033811
7,D2__mixed_composition,eval_00,5,1,73,0.049821157771703116,0.03122299013575141
7,D2__mixed_composition,eval_01,5,1,67,0.04811256809074164,0.0006167536027785214
7,D2__mixed_composition,eval_02,5,1,82,0.04954741459537086,0.020567889338314396
7,D2__mixed_composition,eval_03,5,1,45,0.04857113250744289,0.000521254866033811
7,D3__mixed_composition,eval_00,0,1,81,0.04875405209684957,0.0002762752459681311
7,D3__mixed_composition,eval_01,0,1,75,0.04703862920972586,0.00012004065162732294
7,D3__mixed_composition,eval_02,0,1,87,0.04838827937997644,0.0069392058794909665
7,D3__mixed_composition,eval_03,0,1,67,0.04917873698852406,0.0009343677897875361
7,D3__mixed_composition,eval_00,5,1,81,0.04865811671808084,0.0002762752459681311
7,D3__mixed_composition,eval_01,5,1,75,0.046950171707793836,0.00012004065162732294
7,D3__mixed_composition,eval_02,5,1,87,0.048284587234767154,0.0069392058794909665
7,D3__mixed_composition,eval_03,5,1,67,0.049092730596847496,0.0009343677897875361
