domain,topology,method,train_mode,eval_mode,ensemble_rmse,mean_member_rmse,best_member_rmse,uncertainty_error_spearman,depth_stratified_spearman,aleatoric_depth_spearman,total_depth_spearman,aleatoric_error_spearman,total_error_spearman,mean_uncertainty,seed
D3__mixed_composition,D3,structured_ensemble,structured,structured,0.5071113109588623,0.58995254834493,0.5694993138313293,0.9705348339168755,0.808379446640316,-0.4286297760210802,0.37679841897233196,-0.9034430128873066,0.5617289961925739,0.2597125172615051,7
D3__mixed_composition,D3,ordinary_deep_ensemble,constant,constant,0.5119889974594116,0.5875392357508341,0.5598977208137512,0.9688566034070951,0.7999604743083003,-0.3906982872200263,0.3579183135704874,-0.9008150492924246,0.5063247390522093,0.24555647373199463,7
D3__mixed_composition,D3,structured_wrong_desc,structured,constant,0.5067058801651001,0.5894636114438375,0.5692888498306274,0.9703379605166776,0.8085507246376811,-0.42718050065876145,0.3773122529644268,-0.9029289033526092,0.5610272314101963,0.2594407796859741,7
D2__mixed_composition,D2,structured_ensemble,structured,structured,0.5116459131240845,0.6061398188273112,0.5200046300888062,0.80037761503349,-0.18679841897233201,-0.04084321475625823,-0.3702503293807641,-0.8425256421019365,0.5260037827347297,0.2863326668739319,7
D2__mixed_composition,D2,ordinary_deep_ensemble,constant,constant,0.5388481020927429,0.6235132614771525,0.5358732342720032,0.7972526613300149,-0.05956521739130437,-0.07001317523056654,-0.27857707509881424,-0.853923229250515,0.4722776244162523,0.2765153646469116,7
D2__mixed_composition,D2,structured_wrong_desc,structured,constant,0.5111069679260254,0.605412224928538,0.5196734666824341,0.8001670460924089,-0.1868774703557312,-0.04357048748353098,-0.3699077733860342,-0.842458612964344,0.5240454520763066,0.2858330011367798,7
D3__mixed_unseen,D3,structured_ensemble,structured,structured,0.5035488605499268,0.5897910396258036,0.5739396810531616,0.9866165594233388,0.873254281949934,-0.5383399209486166,0.4060474308300394,-0.9025381853737551,0.5880645994959647,0.2640729546546936,7
D3__mixed_unseen,D3,ordinary_deep_ensemble,constant,constant,0.508610188961029,0.5877526601155599,0.5611640214920044,0.9929323107768435,0.9167852437417654,-0.5048616600790513,0.44085638998682475,-0.9117321073190486,0.5382132257443248,0.24991768598556519,7
D3__mixed_unseen,D3,structured_wrong_desc,structured,constant,0.5031362175941467,0.5893005132675171,0.5737441182136536,0.9867045269359356,0.8733201581027666,-0.538076416337286,0.4062845849802371,-0.9022927191410001,0.5863438337967102,0.2638084590435028,7
D3__mixed_composition,D3,structured_ensemble,structured,structured,0.4825555682182312,0.5892309645811716,0.49193957448005676,0.949650187572943,0.7798418972332015,-0.7074308300395256,0.38098814229249006,-0.9212688128501048,0.5647467559510584,0.2981683909893036,17
D3__mixed_composition,D3,ordinary_deep_ensemble,constant,constant,0.47267475724220276,0.591652383406957,0.48123177886009216,0.9491277817009798,0.8039130434782609,-0.696060606060606,0.4287088274044796,-0.9132459913382289,0.6163584017698854,0.32009291648864746,17
D3__mixed_composition,D3,structured_wrong_desc,structured,constant,0.48300811648368835,0.5897052884101868,0.49222803115844727,0.9497673897978098,0.7786561264822134,-0.7072595520421606,0.380223978919631,-0.9217546094877836,0.5665129539734353,0.2982814908027649,17
D2__mixed_composition,D2,structured_ensemble,structured,structured,0.4859519898891449,0.5913109381993612,0.5332207083702087,0.9105083317283873,0.38807641633728596,-0.10223978919631091,0.28413702239789196,-0.8611518410790506,0.6701518526017413,0.2988814413547516,17
D2__mixed_composition,D2,ordinary_deep_ensemble,constant,constant,0.47348424792289734,0.6027549505233765,0.5331348180770874,0.8977447460645896,0.29378129117259555,-0.03859025032938078,0.1882081686429512,-0.8399317856713696,0.7101240006123488,0.3330563008785248,17
D2__mixed_composition,D2,structured_wrong_desc,structured,constant,0.4863472282886505,0.591866135597229,0.533225953578949,0.9106501595892657,0.388866930171278,-0.10250329380764164,0.28281949934123846,-0.8616256541184567,0.6716916791358641,0.29926860332489014,17
