seed,domain,method,k,ensemble_rmse,improvement_vs_baseline_pct,predicted_topo,true_topo,correct_identification
7,D2__mixed_composition,route2_topo_id,0,0.42230087518692017,0.0,intact,D2,False
7,D2__mixed_composition,route2_topo_id,1,0.4229748845100403,-0.15960405547864068,D2,D2,True
7,D2__mixed_composition,route2_topo_id,2,0.4229748845100403,-0.15960405547864068,D2,D2,True
7,D2__mixed_composition,route2_topo_id,5,0.4229748845100403,-0.15960405547864068,D2,D2,True
7,D3__mixed_composition,route2_topo_id,0,0.34969472885131836,0.0,intact,D3,False
7,D3__mixed_composition,route2_topo_id,1,0.3503342568874359,-0.18288180614511504,D3,D3,True
7,D3__mixed_composition,route2_topo_id,2,0.3503342568874359,-0.18288180614511504,D3,D3,True
7,D3__mixed_composition,route2_topo_id,5,0.3503342568874359,-0.18288180614511504,D3,D3,True
17,D2__mixed_composition,route2_topo_id,0,0.46456074714660645,0.0,intact,D2,False
17,D2__mixed_composition,route2_topo_id,1,0.46452999114990234,0.006620446710792714,D2,D2,True
17,D2__mixed_composition,route2_topo_id,2,0.46452999114990234,0.006620446710792714,D2,D2,True
17,D2__mixed_composition,route2_topo_id,5,0.46452999114990234,0.006620446710792714,D2,D2,True
17,D3__mixed_composition,route2_topo_id,0,0.41787654161453247,0.0,intact,D3,False
17,D3__mixed_composition,route2_topo_id,1,0.4174938201904297,0.09158720004336164,D3,D3,True
17,D3__mixed_composition,route2_topo_id,2,0.4174938201904297,0.09158720004336164,D3,D3,True
17,D3__mixed_composition,route2_topo_id,5,0.4174938201904297,0.09158720004336164,D3,D3,True
27,D2__mixed_composition,route2_topo_id,0,0.5043966174125671,0.0,intact,D2,False
27,D2__mixed_composition,route2_topo_id,1,0.5042802095413208,0.023078638362700004,D2,D2,True
27,D2__mixed_composition,route2_topo_id,2,0.5042802095413208,0.023078638362700004,D2,D2,True
27,D2__mixed_composition,route2_topo_id,5,0.5042802095413208,0.023078638362700004,D2,D2,True
27,D3__mixed_composition,route2_topo_id,0,0.4898983836174011,0.0,intact,D3,False
27,D3__mixed_composition,route2_topo_id,1,0.4900863468647003,-0.03836780311689886,D3,D3,True
27,D3__mixed_composition,route2_topo_id,2,0.4900863468647003,-0.03836780311689886,D3,D3,True
27,D3__mixed_composition,route2_topo_id,5,0.4900863468647003,-0.03836780311689886,D3,D3,True
37,D2__mixed_composition,route2_topo_id,0,0.4905409812927246,0.0,intact,D2,False
37,D2__mixed_composition,route2_topo_id,1,0.4903232753276825,0.044380790462887086,D2,D2,True
37,D2__mixed_composition,route2_topo_id,2,0.4903232753276825,0.044380790462887086,D2,D2,True
37,D2__mixed_composition,route2_topo_id,5,0.4903232753276825,0.044380790462887086,D2,D2,True
37,D3__mixed_composition,route2_topo_id,0,0.44026824831962585,0.0,intact,D3,False
37,D3__mixed_composition,route2_topo_id,1,0.4393424987792969,0.21026943093495673,D3,D3,True
37,D3__mixed_composition,route2_topo_id,2,0.4393424987792969,0.21026943093495673,D3,D3,True
37,D3__mixed_composition,route2_topo_id,5,0.4393424987792969,0.21026943093495673,D3,D3,True
47,D2__mixed_composition,route2_topo_id,0,0.6226473450660706,0.0,intact,D2,False
47,D2__mixed_composition,route2_topo_id,1,0.6223462224006653,0.048361671786028515,D2,D2,True
47,D2__mixed_composition,route2_topo_id,2,0.6223462224006653,0.048361671786028515,D2,D2,True
47,D2__mixed_composition,route2_topo_id,5,0.6223462224006653,0.048361671786028515,D2,D2,True
47,D3__mixed_composition,route2_topo_id,0,0.5558456778526306,0.0,intact,D3,False
47,D3__mixed_composition,route2_topo_id,1,0.557113528251648,-0.22809395656638976,D3,D3,True
47,D3__mixed_composition,route2_topo_id,2,0.557113528251648,-0.22809395656638976,D3,D3,True
47,D3__mixed_composition,route2_topo_id,5,0.557113528251648,-0.22809395656638976,D3,D3,True
