seed,domain,target,shots,success,steps,final_distance_m,ik_error_m
7,D2__mixed_composition,eval_00,0,1,73,0.049519150212812287,0.03122299013575141
7,D2__mixed_composition,eval_01,0,1,67,0.04788791075860701,0.0006167536027785214
7,D2__mixed_composition,eval_02,0,1,82,0.04947604375606475,0.020567889338314396
7,D2__mixed_composition,eval_03,0,1,45,0.04863497975084313,0.000521254866033811
7,D2__mixed_composition,eval_00,5,1,73,0.04968983736070024,0.03122299013575141
7,D2__mixed_composition,eval_01,5,1,67,0.04799091534970202,0.0006167536027785214
7,D2__mixed_composition,eval_02,5,1,82,0.04940740944841362,0.020567889338314396
7,D2__mixed_composition,eval_03,5,1,45,0.04866140568389481,0.000521254866033811
7,D3__mixed_composition,eval_00,0,1,81,0.04844850105396251,0.0002762752459681311
7,D3__mixed_composition,eval_01,0,1,75,0.046962649059030484,0.00012004065162732294
7,D3__mixed_composition,eval_02,0,1,87,0.04837352189622332,0.0069392058794909665
7,D3__mixed_composition,eval_03,0,1,67,0.04914301906055586,0.0009343677897875361
7,D3__mixed_composition,eval_00,5,1,81,0.04816569690810117,0.0002762752459681311
7,D3__mixed_composition,eval_01,5,1,74,0.04973241067604326,0.00012004065162732294
7,D3__mixed_composition,eval_02,5,1,87,0.0481014178459153,0.0069392058794909665
7,D3__mixed_composition,eval_03,5,1,67,0.048866525403690575,0.0009343677897875361
