seed,domain,target,shots,success,steps,final_distance_m,n_rejections,rejection_rate
7,D2__mixed_composition,eval_00,0,1,74,0.04994194631903911,74,1.0
7,D2__mixed_composition,eval_01,0,1,67,0.04922785841643816,67,1.0
7,D2__mixed_composition,eval_02,0,1,83,0.04970064141487457,83,1.0
7,D2__mixed_composition,eval_03,0,1,45,0.04999705325263517,45,1.0
7,D2__mixed_composition,eval_00,1,1,74,0.04994194631903911,74,1.0
7,D2__mixed_composition,eval_01,1,1,67,0.04922785841643816,67,1.0
7,D2__mixed_composition,eval_02,1,1,83,0.04970064141487457,83,1.0
7,D2__mixed_composition,eval_03,1,1,45,0.04999705325263517,45,1.0
7,D2__mixed_composition,eval_00,2,1,74,0.04994194631903911,74,1.0
7,D2__mixed_composition,eval_01,2,1,67,0.04922785841643816,67,1.0
7,D2__mixed_composition,eval_02,2,1,83,0.04970064141487457,83,1.0
7,D2__mixed_composition,eval_03,2,1,45,0.04999705325263517,45,1.0
7,D2__mixed_composition,eval_00,5,1,74,0.04994194631903911,74,1.0
7,D2__mixed_composition,eval_01,5,1,67,0.04922785841643816,67,1.0
7,D2__mixed_composition,eval_02,5,1,83,0.04970064141487457,83,1.0
7,D2__mixed_composition,eval_03,5,1,45,0.04999705325263517,45,1.0
7,D3__mixed_composition,eval_00,0,1,82,0.048539043646070944,82,1.0
7,D3__mixed_composition,eval_01,0,1,75,0.049531580709459254,75,1.0
7,D3__mixed_composition,eval_02,0,1,88,0.04842961271095305,88,1.0
7,D3__mixed_composition,eval_03,0,1,68,0.04849870175143685,68,1.0
7,D3__mixed_composition,eval_00,1,1,82,0.048539043646070944,82,1.0
7,D3__mixed_composition,eval_01,1,1,75,0.049531580709459254,75,1.0
7,D3__mixed_composition,eval_02,1,1,88,0.04842961271095305,88,1.0
7,D3__mixed_composition,eval_03,1,1,68,0.04849870175143685,68,1.0
7,D3__mixed_composition,eval_00,2,1,82,0.048539043646070944,82,1.0
7,D3__mixed_composition,eval_01,2,1,75,0.049531580709459254,75,1.0
7,D3__mixed_composition,eval_02,2,1,88,0.04842961271095305,88,1.0
7,D3__mixed_composition,eval_03,2,1,68,0.04849870175143685,68,1.0
7,D3__mixed_composition,eval_00,5,1,82,0.048539043646070944,82,1.0
7,D3__mixed_composition,eval_01,5,1,75,0.049531580709459254,75,1.0
7,D3__mixed_composition,eval_02,5,1,88,0.04842961271095305,88,1.0
7,D3__mixed_composition,eval_03,5,1,68,0.04849870175143685,68,1.0
